,emoji,meanings_en,meanings_ru
3817,📸,"[""camera with flash""]","[""камера с flash""]"
3818,📹,"[""video camera"", ""camcorder""]","[""видеокамера"", ""camcorder""]"
3819,📼,"[""videocassette"", ""vcr"", ""vhs"", ""video tape""]","[""видеокассет"", ""ВР"", ""вхс"", ""видео лента""]"
3820,🔍,"[""magnifying glass tilted left"", ""magnifier"", ""magnifying glass"", ""search icon""]","[""увеличительное стекло наклонено слева"", ""маркир"", ""увеличительное стекло"", ""иконка поиска""]"
3821,🔎,"[""magnifying glass tilted right"", ""magnifier"", ""magnifying glass"", ""search icon""]","[""увеличительное стекло наклонено прямо"", ""маркир"", ""увеличительное стекло"", ""иконка поиска""]"
3822,🕯️,"[""candle""]","[""свеча""]"
3823,🕯,"[""candle""]","[""свеча""]"
3824,💡,"[""light bulb"", ""idea"", ""light bulb""]","[""лампа"", ""идея"", ""лампа""]"
3825,🔦,"[""flashlight"", ""flashlight"", ""torch""]","[""фонарик"", ""фонарик"", ""факел""]"
3826,🏮,"[""red paper lantern"", ""asian lantern"", ""japanese lantern"", ""red lantern""]","[""красный бумажный фонарь"", ""азиатский фонарь"", ""японский фонарь"", ""красный фонарь""]"
3827,🪔,"[""diya lamp"", ""oil lamp""]","[""diya лампа"", ""масляная лампа""]"
3828,📔,"[""notebook with decorative cover""]","[""ноутбук с декоративной крышкой""]"
3829,📕,"[""closed book"", ""red book""]","[""закрытая книга"", ""красная книга""]"
3830,📖,"[""open book"", ""book"", ""novel""]","[""открытая книга"", ""книга"", ""роман""]"
3831,📗,"[""green book""]","[""зеленая книга""]"
3832,📘,"[""blue book""]","[""голубая книга""]"
3833,📙,"[""orange book""]","[""оранжевая книга""]"
3834,📚,"[""books"", ""pile of books"", ""stack of books""]","[""книги"", ""свай книг"", ""стек книг""]"
3835,📓,"[""notebook"", ""black"", ""white book""]","[""ноутбук"", ""черный"", ""белая книга""]"
3836,📒,"[""ledger"", ""binder"", ""spiral bound book"", ""yellow book""]","[""ledger"", ""Больница"", ""спиральная книжка"", ""желтая книга""]"
3837,📃,"[""page with curl"", ""curled page"", ""curly page""]","[""страница с curl"", ""curled страница"", ""curly страница""]"
3838,📜,"[""scroll"", ""degree"", ""parchment""]","[""свиток"", ""степень"", ""parchment""]"
3839,📄,"[""page facing up"", ""printed page""]","[""страница наверх"", ""печатная страница""]"
3840,📰,"[""newspaper""]","[""газета""]"
3841,🗞️,"[""rolled-up newspaper"", ""newspaper delivery""]","[""откатная газета"", ""доставка газет""]"
3842,🗞,"[""rolled-up newspaper"", ""newspaper delivery""]","[""откатная газета"", ""доставка газет""]"
3843,📑,"[""bookmark tabs""]","[""bookmark вкладки""]"
3844,🔖,"[""bookmark"", ""price tag"", ""tag""]","[""закладка"", ""цена тег"", ""тег""]"
3845,🏷️,"[""label""]","[""этикетка""]"
3846,🏷,"[""label""]","[""этикетка""]"
3847,💰,"[""money bag"", ""moneybags"", ""rich""]","[""деньги мешок"", ""денежные сумки"", ""богатый""]"
3848,🪙,"[""coin""]","[""монета""]"
3849,💴,"[""yen banknote"", ""¥1000 note"", ""yen note""]","[""иен банкнот"", ""¥1000 примечание"", ""иен Примечание""]"
3850,💵,"[""dollar banknote"", ""$1 note"", ""american dollar"", ""dollar bill""]","[""Доллар банкнот"", ""$1 Примечание"", ""американский доллар"", ""Доллар Билл""]"
3851,💶,"[""euro banknote"", ""€100 note"", ""euro""]","[""евро банкнота"", ""€100 примечание"", ""евро""]"
3852,💷,"[""pound banknote"", ""£20 note"", ""pound note"", ""twenty quid note""]","[""фунт банкнот"", ""£20 примечание"", ""фунт Примечание"", ""20 викторина""]"
3853,💸,"[""money with wings"", ""flying money"", ""losing money""]","[""деньги с крыльями"", ""летающие деньги"", ""потерять деньги""]"
3854,💳,"[""credit card"", ""amex"", ""diners club"", ""mastercard"", ""visa card""]","[""кредитная карта"", ""амекс"", ""Клуб ужинов"", ""мастеркард"", ""визовая карта""]"
3855,🧾,"[""receipt""]","[""квитанция""]"
3856,💹,"[""chart increasing with yen"", ""yen exchange rate"", ""yen graph""]","[""график растет с иен"", ""обменный курс"", ""график иен""]"
3857,✉️,"[""envelope"", ""✉ letter""]","[""конверт"", ""✉ письмо""]"
3858,✉,"[""envelope"", ""✉ letter""]","[""конверт"", ""✉ письмо""]"
3859,📧,"[""e-mail"", ""email""]","[""e-mail"", ""email""]"
3860,📨,"[""incoming envelope"", ""envelope with lines"", ""fast envelope""]","[""входящий конверт"", ""конверт с линиями"", ""быстрый конверт""]"
3861,📩,"[""envelope with arrow"", ""down arrow envelope"", ""insert in envelope""]","[""конверт со стрелкой"", ""вниз arrow конверт"", ""вставить в конверт""]"
3862,📤,"[""outbox tray"", ""outbox""]","[""outbox лоток"", ""Аутбокс""]"
3863,📥,"[""inbox tray"", ""inbox""]","[""inbox лоток"", ""в ящике""]"
3864,📦,"[""package"", ""box"", ""parcel""]","[""пакет"", ""коробка"", ""посылка""]"
3865,📫,"[""closed mailbox with raised flag""]","[""закрытый почтовый ящик с поднятым флагом""]"
3866,📪,"[""closed mailbox with lowered flag""]","[""закрытый почтовый ящик с пониженным флагом""]"
3867,📬,"[""open mailbox with raised flag"", ""open mailbox""]","[""открытый почтовый ящик с поднятым флагом"", ""открытый почтовый ящик""]"
3868,📭,"[""open mailbox with lowered flag""]","[""открытый почтовый ящик с пониженным флагом""]"
3869,📮,"[""postbox""]","[""почтовый ящик""]"
3870,🗳️,"[""ballot box with ballot"", ""vote box"", ""voting""]","[""ballot коробка с ballot"", ""коробка голосования"", ""голосование""]"
3871,🗳,"[""ballot box with ballot"", ""vote box"", ""voting""]","[""ballot коробка с ballot"", ""коробка голосования"", ""голосование""]"
3872,✏️,"[""pencil"", ""✏ lead pencil""]","[""карандаш"", "" pencil свинцовый карандаш""]"
3873,✏,"[""pencil"", ""✏ lead pencil""]","[""карандаш"", "" pencil свинцовый карандаш""]"
3874,✒️,"[""black nib"", ""✒ pen nib"", ""✒ fountain pen""]","[""черный nib"", "" pen перо nib"", "" pen фонтанная ручка""]"
3875,✒,"[""black nib"", ""✒ pen nib"", ""✒ fountain pen""]","[""черный nib"", "" pen перо nib"", "" pen фонтанная ручка""]"
3876,🖋️,"[""fountain pen""]","[""фонтанная ручка""]"
3877,🖋,"[""fountain pen""]","[""фонтанная ручка""]"
3878,🖊️,"[""pen""]","[""перо""]"
3879,🖊,"[""pen""]","[""перо""]"
3880,🖌️,"[""paintbrush"", ""brush""]","[""Paintbrush"", ""кисть""]"
3881,🖌,"[""paintbrush"", ""brush""]","[""Paintbrush"", ""кисть""]"
3882,🖍️,"[""crayon""]","[""серион""]"
3883,🖍,"[""crayon""]","[""серион""]"
3884,📝,"[""memo"", ""memorandum"", ""note"", ""pencil"", ""paper""]","[""мемо"", ""меморандум"", ""Примечание"", ""карандаш"", ""бумага""]"
3885,💼,"[""briefcase"", ""suitcase""]","[""портфель"", ""чемодан""]"
3886,📁,"[""file folder"", ""folder"", ""manilla folder""]","[""папка файлов"", ""папка"", ""manilla папка""]"
3887,📂,"[""open file folder"", ""open folder""]","[""открытая папка файлов"", ""открытая папка""]"
3888,🗂️,"[""card index dividers""]","[""карт индекс делители""]"
3889,🗂,"[""card index dividers""]","[""карт индекс делители""]"
3890,📅,"[""calendar"", ""july 17"", ""world emoji day""]","[""календарь"", ""17 июля"", ""мир emoji день""]"
3891,📆,"[""tear-off calendar"", ""day calendar"", ""desk calendar""]","[""календарь слез"", ""день календарь"", ""настольный календарь""]"
3892,🗒️,"[""spiral notepad""]","[""spiral блокнот""]"
3893,🗒,"[""spiral notepad""]","[""spiral блокнот""]"
3894,🗓️,"[""spiral calendar""]","[""спиральный календарь""]"
3895,🗓,"[""spiral calendar""]","[""спиральный календарь""]"
3896,📇,"[""card index"", ""index card"", ""rolodex"", ""system card""]","[""индекс карты"", ""индекс карты"", ""Ролодекс"", ""системная карта""]"
3897,📈,"[""chart increasing"", ""positive chart"", ""up pointing graph""]","[""увеличение графика"", ""положительный график"", ""вверх указывает график""]"
3898,📉,"[""chart decreasing"", ""down pointing graph"", ""negative chart""]","[""график уменьшения"", ""вниз указывая график"", ""отрицательный график""]"
3899,📊,"[""bar chart"", ""bar graph""]","[""Бар-чарт"", ""график бара""]"
3900,📋,"[""clipboard""]","[""Клипборд""]"
3901,📌,"[""pushpin"", ""thumb tack""]","[""pushpin"", ""Thumb тэк""]"
3902,📍,"[""round pushpin"", ""dropped pin"", ""map pin"", ""pin"", ""red pin""]","[""раунд pushpin"", ""упал штырь"", ""карта pin"", ""пин"", ""красный штырь""]"
3903,📎,"[""paperclip"", ""clippy""]","[""paperclip"", ""клиппи""]"
3904,🖇️,"[""linked paperclips""]","[""связанных paperclips""]"
3905,🖇,"[""linked paperclips""]","[""связанных paperclips""]"
3906,📏,"[""straight ruler""]","[""прямой правитель""]"
3907,📐,"[""triangular ruler"", ""triangle ruler""]","[""треугольный правитель"", ""треугольник правитель""]"
3908,✂️,"[""scissors"", ""cutting""]","[""ножницы"", ""резка""]"
3909,✂,"[""scissors"", ""cutting""]","[""ножницы"", ""резка""]"
3910,🗃️,"[""card file box""]","[""коробка файла карты""]"
3911,🗃,"[""card file box""]","[""коробка файла карты""]"
3912,🗄️,"[""file cabinet"", ""filing cabinet""]","[""файл кабинет"", ""линг кабинет""]"
3913,🗄,"[""file cabinet"", ""filing cabinet""]","[""файл кабинет"", ""линг кабинет""]"
3914,🗑️,"[""wastebasket"", ""garbage can"", ""rubbish bin"", ""trash can"", ""wastepaper basket""]","[""Отходы"", ""мусор может"", ""мусорный бин"", ""мусор может"", ""корзина""]"
3915,🗑,"[""wastebasket"", ""garbage can"", ""rubbish bin"", ""trash can"", ""wastepaper basket""]","[""Отходы"", ""мусор может"", ""мусорный бин"", ""мусор может"", ""корзина""]"
3916,🔒,"[""locked"", ""closed lock"", ""padlock""]","[""заперт"", ""закрытый замок"", ""замка""]"
3917,🔓,"[""unlocked"", ""open padlock"", ""unlock""]","[""разблокирован"", ""открытый замок"", ""разблокировать""]"
3918,🔏,"[""locked with pen"", ""lock"", ""pen"", ""lock with fountain pen""]","[""заперты с ручкой"", ""замок"", ""перо"", ""замок с фонтанной ручкой""]"
3919,🔐,"[""locked with key"", ""lock"", ""key""]","[""заперт с ключом"", ""замок"", ""ключ""]"
3920,🔑,"[""key"", ""gold key""]","[""ключ"", ""золотой ключ""]"
3921,🗝️,"[""old key""]","[""старый ключ""]"
3922,🗝,"[""old key""]","[""старый ключ""]"
3923,🔨,"[""hammer"", ""claw hammer"", ""handyman"", ""tool""]","[""молот"", ""когт молоток"", ""handyman"", ""инструмент""]"
3924,🪓,"[""axe""]","[""оси""]"
3925,⛏️,"[""pick"", ""pickaxe""]","[""Выбрать"", ""пикакс""]"
3926,⛏,"[""pick"", ""pickaxe""]","[""Выбрать"", ""пикакс""]"
3927,⚒️,"[""hammer"", ""pick""]","[""молот"", ""Выбрать""]"
3928,⚒,"[""hammer"", ""pick""]","[""молот"", ""Выбрать""]"
3929,🛠️,"[""hammer"", ""wrench""]","[""молот"", ""Воренч""]"
3930,🛠,"[""hammer"", ""wrench""]","[""молот"", ""Воренч""]"
3931,🗡️,"[""dagger"", ""knife weapon""]","[""Даггер"", ""нож оружие""]"
3932,🗡,"[""dagger"", ""knife weapon""]","[""Даггер"", ""нож оружие""]"
3933,⚔️,"[""crossed swords""]","[""пересеченные мечи""]"
3934,⚔,"[""crossed swords""]","[""пересеченные мечи""]"
3935,🔫,"[""water pistol"", ""gun"", ""revolver"", ""squirt gun"", ""water gun"", ""water pistol""]","[""пистолет воды"", ""пистолет"", ""револьвер"", ""squirt пистолет"", ""водяной пистолет"", ""пистолет воды""]"
3936,🪃,"[""boomerang""]","[""Бумеранг""]"
3937,🏹,"[""bow"", ""arrow"", ""archery""]","[""лук"", ""стрелка"", ""архив""]"
3938,🛡️,"[""shield""]","[""щит""]"
3939,🛡,"[""shield""]","[""щит""]"
3940,🪚,"[""carpentry saw""]","[""столярная пила""]"
3941,🔧,"[""wrench"", ""spanner""]","[""Воренч"", ""Спенер""]"
3942,🪛,"[""screwdriver""]","[""винтовая""]"
3943,🔩,"[""nut"", ""bolt"", ""bolt"", ""screw""]","[""орех"", ""болт"", ""болт"", ""винт""]"
3944,⚙️,"[""gear""]","[""снаряжение""]"
3945,⚙,"[""gear""]","[""снаряжение""]"
3946,🗜️,"[""clamp"", ""clamp"", ""table vice"", ""winzip""]","[""зажим"", ""зажим"", ""таблица vice"", ""победаzip""]"
3947,🗜,"[""clamp"", ""clamp"", ""table vice"", ""winzip""]","[""зажим"", ""зажим"", ""таблица vice"", ""победаzip""]"
3948,⚖️,"[""balance scale"", ""scales of justice""]","[""вес баланса"", ""весы справедливости""]"
3949,⚖,"[""balance scale"", ""scales of justice""]","[""вес баланса"", ""весы справедливости""]"
3950,🦯,"[""white cane""]","[""белый тростник""]"
3951,🔗,"[""link"", ""chain"", ""hyperlink"", ""linked chain""]","[""ссылка"", ""цепь"", ""гиперссылка"", ""связанная цепь""]"
3952,⛓️,"[""chains""]","[""цепи""]"
3953,⛓,"[""chains""]","[""цепи""]"
3954,🪝,"[""hook""]","[""Крюк""]"
3955,🧰,"[""toolbox""]","[""Инструмент""]"
3956,🧲,"[""magnet""]","[""магнит""]"
3957,🪜,"[""ladder""]","[""лестница""]"
3958,⚗️,"[""alembic""]","[""алембика""]"
3959,⚗,"[""alembic""]","[""алембика""]"
3960,🧪,"[""test tube""]","[""тест туба""]"
3961,🧫,"[""petri dish""]","[""petri блюдо""]"
3962,🧬,"[""dna""]","[""дна""]"
3963,🔬,"[""microscope"", ""magnify"", ""science""]","[""микроскоп"", ""магнит"", ""наука""]"
3964,🔭,"[""telescope"", ""stargazing""]","[""телескоп"", ""голодание""]"
3965,📡,"[""satellite antenna""]","[""спутниковая антенна""]"
3966,💉,"[""syringe"", ""vaccination""]","[""сиринге"", ""вакцинация""]"
3967,🩸,"[""drop of blood"", ""blood donation"", ""menstruation"", ""period""]","[""капля крови"", ""пожертвование крови"", ""менструация"", ""период""]"
3968,💊,"[""pill"", ""capsule"", ""drugs"", ""tablet""]","[""таблетки"", ""капсула"", ""наркотики"", ""таблетка""]"
3969,🩹,"[""adhesive bandage"", ""band aid"", ""plaster""]","[""клей бандаж"", ""группа помощь"", ""штукатурка""]"
3970,🩺,"[""stethoscope""]","[""Стетоскоп""]"
3971,🚪,"[""door"", ""doorway"", ""front door""]","[""дверь"", ""дверной путь"", ""передняя дверь""]"
3972,🛗,"[""elevator""]","[""лифт""]"
3973,🪞,"[""mirror""]","[""зеркало""]"
3974,🪟,"[""window""]","[""окно""]"
3975,🛏️,"[""bed"", ""bedroom""]","[""кровать"", ""спальня""]"
3976,🛏,"[""bed"", ""bedroom""]","[""кровать"", ""спальня""]"
3977,🛋️,"[""couch"", ""lamp"", ""lounge"", ""settee"", ""sofa""]","[""диван"", ""лампа"", ""Зал"", ""Сетте"", ""диван""]"
3978,🛋,"[""couch"", ""lamp"", ""lounge"", ""settee"", ""sofa""]","[""диван"", ""лампа"", ""Зал"", ""Сетте"", ""диван""]"
3979,🪑,"[""chair""]","[""стул""]"
3980,🚽,"[""toilet"", ""bathroom"", ""loo"", ""restroom""]","[""туалет"", ""ванная комната"", ""Лоо"", ""комната отдыха""]"
3981,🪠,"[""plunger""]","[""плунгер""]"
3982,🚿,"[""shower"", ""shower head""]","[""душ"", ""душ голова""]"
3983,🛁,"[""bathtub"", ""bubble bath""]","[""ванна"", ""баня пузыря""]"
3984,🪤,"[""mouse trap""]","[""мышь ловушка""]"
3985,🪒,"[""razor""]","[""Разор""]"
3986,🧴,"[""lotion bottle""]","[""бутылка лосьона""]"
3987,🧷,"[""safety pin""]","[""безопасности Pin""]"
3988,🧹,"[""broom"", ""brush"", ""sweep""]","[""Broom"", ""кисть"", ""сметать""]"
3989,🧺,"[""basket""]","[""корзина""]"
3990,🧻,"[""roll of paper"", ""toilet paper""]","[""рулон бумаги"", ""туалетная бумага""]"
3991,🪣,"[""bucket""]","[""ведра""]"
3992,🧼,"[""soap""]","[""мыло""]"
3993,🪥,"[""toothbrush""]","[""зубная щетка""]"
3994,🧽,"[""sponge""]","[""губка""]"
3995,🧯,"[""fire extinguisher""]","[""огнетушитель""]"
3996,🛒,"[""shopping cart"", ""shopping cart""]","[""корзина"", ""корзина""]"
3997,🚬,"[""cigarette"", ""cigarette"", ""smoke""]","[""сигарета"", ""сигарета"", ""курить""]"
3998,⚰️,"[""coffin"", ""casket"", ""funeral""]","[""Коффин"", ""шкатулка"", ""похороны""]"
3999,⚰,"[""coffin"", ""casket"", ""funeral""]","[""Коффин"", ""шкатулка"", ""похороны""]"
4000,🪦,"[""headstone""]","[""головной камень""]"
4001,⚱️,"[""funeral urn"", ""vase""]","[""похороны urn"", ""ваза""]"
4002,⚱,"[""funeral urn"", ""vase""]","[""похороны urn"", ""ваза""]"
4003,🗿,"[""moai"", ""easter island"", ""human rock carving"", ""moai"", ""moyai statue""]","[""Моай"", ""пасхальный остров"", ""человек рок резьба"", ""Моай"", ""moyai статуя""]"
4004,🪧,"[""placard"", ""lawn sign"", ""protest sign"", ""sign"", ""sign on post""]","[""плацкарт"", ""Законный знак"", ""знак протеста"", ""знак"", ""знак на пост""]"
4005,🏧,"[""atm sign"", ""atm""]","[""Знак атм"", ""атм""]"
4006,🚮,"[""litter in bin sign"", ""trash"", ""put litter in trash""]","[""помет в bin sign"", ""Траш"", ""положить помет в мусор""]"
4007,🚰,"[""potable water"", ""thirst"", ""thirsty"", ""water tap""]","[""питьевая вода"", ""жажду"", ""жажда"", ""водопровод""]"
4008,♿,"[""wheelchair symbol"", ""accessible bathroom""]","[""символ инвалидного кресла"", ""доступная ванная комната""]"
4009,🚹,"[""men’s"", ""male restroom"", ""mens toilet""]","[""мужчины"", ""мужской туалет"", ""мужской туалет""]"
4010,🚺,"[""women’s"", ""female restroom"", ""womens toilet""]","[""женщины"", ""женский туалет"", ""Женский туалет""]"
4011,🚻,"[""restroom"", ""bathroom sign"", ""toilet sign""]","[""комната отдыха"", ""Знак ванной"", ""Знак туалета""]"
4012,🚼,"[""baby symbol"", ""baby change station"", ""baby change symbol"", ""nursery""]","[""baby символ"", ""станция смены ребенка"", ""символ изменения ребенка"", ""питомник""]"
4013,🚾,"[""water closet"", ""toilet wc"", ""wc""]","[""вода шкаф"", ""туалет"", ""ВК""]"
4014,🛂,"[""passport control"", ""border control""]","[""паспортный контроль"", ""пограничного контроля""]"
4015,🛃,"[""customs""]","[""таможни""]"
4016,🛄,"[""baggage claim""]","[""заявление о багаже""]"
4017,🛅,"[""left luggage"", ""bag with key"", ""locked suitcase""]","[""левый багаж"", ""сумка с ключом"", ""запертый чемодан""]"
4018,⚠️,"[""warning"", ""alert symbol""]","[""предупреждение"", ""предупреждающий символ""]"
4019,⚠,"[""warning"", ""alert symbol""]","[""предупреждение"", ""предупреждающий символ""]"
4020,🚸,"[""children crossing"", ""kids crossing"", ""school crossing""]","[""детский переход"", ""детский переход"", ""школьное пересечение""]"
4021,⛔,"[""no entry""]","[""без входа""]"
4022,🚫,"[""prohibited"", ""banned"", ""circle backslash"", ""no"", ""red circle crossed"", ""restricted""]","[""запрещено"", ""запрещен"", ""круг backslash"", ""нет"", ""красный круг пересечен"", ""ограничено""]"
4023,🚳,"[""no bicycles"", ""no bikes sign""]","[""без велосипедов"", ""без велосипедов знак""]"
4024,🚭,"[""no smoking""]","[""не курить""]"
4025,🚯,"[""no littering""]","[""нет помета""]"
4026,🚱,"[""non-potable water"", ""no drinking water"", ""no water""]","[""непотребляемая вода"", ""нет питьевой воды"", ""нет воды""]"
4027,🚷,"[""no pedestrians"", ""no people"", ""no walking""]","[""без пешеходов"", ""нет людей"", ""без прогулок""]"
4028,📵,"[""no mobile phones"", ""no cell phones"", ""no phones"", ""no smartphones""]","[""нет мобильных телефонов"", ""нет сотовых телефонов"", ""нет телефонов"", ""нет смартфонов""]"
4029,🔞,"[""no one under eighteen"", ""nsfw""]","[""никто под восемнадцать"", ""nsfw""]"
4030,☢️,"[""radioactive"", ""international radiation symbol"", ""nuclear""]","[""радиоактивный"", ""символ международного излучения"", ""ядерная""]"
4031,☢,"[""radioactive"", ""international radiation symbol"", ""nuclear""]","[""радиоактивный"", ""символ международного излучения"", ""ядерная""]"
4032,☣️,"[""biohazard""]","[""биохазард""]"
4033,☣,"[""biohazard""]","[""биохазард""]"
4034,⬆️,"[""up arrow"", ""arrow pointing up"", ""up arrow""]","[""вверх по стрелке"", ""стрелка, указывая вверх"", ""вверх по стрелке""]"
4035,⬆,"[""up arrow"", ""arrow pointing up"", ""up arrow""]","[""вверх по стрелке"", ""стрелка, указывая вверх"", ""вверх по стрелке""]"
4036,↗️,"[""up-right arrow"", ""diagonal up-right arrow""]","[""вверх-правая стрелка"", ""diagonal вверх-правая стрелка""]"
4037,↗,"[""up-right arrow"", ""diagonal up-right arrow""]","[""вверх-правая стрелка"", ""diagonal вверх-правая стрелка""]"
4038,➡️,"[""right arrow"", ""arrow pointing right"", ""right arrow""]","[""правая стрелка"", ""стрелка указывает право"", ""правая стрелка""]"
4039,➡,"[""right arrow"", ""arrow pointing right"", ""right arrow""]","[""правая стрелка"", ""стрелка указывает право"", ""правая стрелка""]"
4040,↘️,"[""down-right arrow"", ""diagonal down-right arrow""]","[""вниз-правая стрелка"", ""diagonal вниз-правая стрелка""]"
4041,↘,"[""down-right arrow"", ""diagonal down-right arrow""]","[""вниз-правая стрелка"", ""diagonal вниз-правая стрелка""]"
4042,⬇️,"[""down arrow"", ""arrow pointing down"", ""down arrow""]","[""вниз стрелка"", ""стрелка указывает вниз"", ""вниз стрелка""]"
4043,⬇,"[""down arrow"", ""arrow pointing down"", ""down arrow""]","[""вниз стрелка"", ""стрелка указывает вниз"", ""вниз стрелка""]"
4044,↙️,"[""down-left arrow"", ""diagonal down-left arrow""]","[""вниз-левая стрелка"", ""diagonal down-left стрелка""]"
4045,↙,"[""down-left arrow"", ""diagonal down-left arrow""]","[""вниз-левая стрелка"", ""diagonal down-left стрелка""]"
4046,⬅️,"[""left arrow"", ""arrow pointing left"", ""left arrow""]","[""левая стрелка"", ""стрелка, указывающая налево"", ""левая стрелка""]"
4047,⬅,"[""left arrow"", ""arrow pointing left"", ""left arrow""]","[""левая стрелка"", ""стрелка, указывающая налево"", ""левая стрелка""]"
4048,↖️,"[""up-left arrow"", ""diagonal up-left arrow""]","[""вверх-левая стрелка"", ""diagonal up-left стрелка""]"
4049,↖,"[""up-left arrow"", ""diagonal up-left arrow""]","[""вверх-левая стрелка"", ""diagonal up-left стрелка""]"
4050,↕️,"[""up-down arrow"", ""vertical arrows""]","[""вверх-вниз стрелка"", ""вертикальные стрелки""]"
4051,↕,"[""up-down arrow"", ""vertical arrows""]","[""вверх-вниз стрелка"", ""вертикальные стрелки""]"
4052,↔️,"[""left-right arrow"", ""horizontal arrows"", ""sideways arrows""]","[""левая стрелка"", ""горизонтальные стрелки"", ""sideways стрелки""]"
4053,↔,"[""left-right arrow"", ""horizontal arrows"", ""sideways arrows""]","[""левая стрелка"", ""горизонтальные стрелки"", ""sideways стрелки""]"
4054,↩️,"[""right arrow curving left"", ""email reply"", ""left curved arrow""]","[""правая стрелка curving left"", ""email ответ"", ""левая изогнутая стрелка""]"
4055,↩,"[""right arrow curving left"", ""email reply"", ""left curved arrow""]","[""правая стрелка curving left"", ""email ответ"", ""левая изогнутая стрелка""]"
4056,↪️,"[""left arrow curving right"", ""email forward"", ""right curved arrow""]","[""левая стрелка curving right"", ""email вперед"", ""правая кривая стрелка""]"
4057,↪,"[""left arrow curving right"", ""email forward"", ""right curved arrow""]","[""левая стрелка curving right"", ""email вперед"", ""правая кривая стрелка""]"
4058,⤴️,"[""right arrow curving up""]","[""правая стрелка curving up""]"
4059,⤴,"[""right arrow curving up""]","[""правая стрелка curving up""]"
4060,⤵️,"[""right arrow curving down"", ""curved down arrow""]","[""правая стрелка curving down"", ""изогнутая вниз стрелка""]"
4061,⤵,"[""right arrow curving down"", ""curved down arrow""]","[""правая стрелка curving down"", ""изогнутая вниз стрелка""]"
4062,🔃,"[""clockwise vertical arrows""]","[""часовые вертикальные стрелки""]"
4063,🔄,"[""counterclockwise arrows button"", ""refresh"", ""rotate"", ""switch""]","[""Counterclockwise кнопка стрелок"", ""Обновить"", ""ротация"", ""переключатель""]"
4064,🔙,"[""back arrow"", ""back""]","[""назад стрелка"", ""назад""]"
4065,🔚,"[""end arrow"", ""end""]","[""конец стрелка"", ""конец""]"
4066,🔛,"[""on! arrow"", ""on""]","[""на! стрелка"", ""на""]"
4067,🔜,"[""soon arrow"", ""soon""]","[""скоро стрелка"", ""скоро""]"
4068,🔝,"[""top arrow"", ""top""]","[""верхняя стрелка"", ""Топ""]"
4069,🛐,"[""place of worship"", ""religious building""]","[""место поклонения"", ""религиозное здание""]"
4070,⚛️,"[""atom symbol""]","[""символ атома""]"
4071,⚛,"[""atom symbol""]","[""символ атома""]"
4072,🕉️,"[""om"", ""aumkara"", ""omkara"", ""pranava""]","[""ом"", ""Аумкара"", ""омкара"", ""пранава""]"
4073,🕉,"[""om"", ""aumkara"", ""omkara"", ""pranava""]","[""ом"", ""Аумкара"", ""омкара"", ""пранава""]"
4074,✡️,"[""star of david"", ""magen david""]","[""звезда david"", ""маген давид""]"
4075,✡,"[""star of david"", ""magen david""]","[""звезда david"", ""маген давид""]"
4076,☸️,"[""wheel of dharma"", ""helm""]","[""колесо dharma"", ""шлем""]"
4077,☸,"[""wheel of dharma"", ""helm""]","[""колесо dharma"", ""шлем""]"
4078,☯️,"[""yin yang""]","[""ин Ян""]"
4079,☯,"[""yin yang""]","[""ин Ян""]"
4080,✝️,"[""latin cross"", ""christian cross""]","[""латинский крест"", ""Христианский крест""]"
4081,✝,"[""latin cross"", ""christian cross""]","[""латинский крест"", ""Христианский крест""]"
4082,☦️,"[""orthodox cross""]","[""ортодокс крест""]"
4083,☦,"[""orthodox cross""]","[""ортодокс крест""]"
4084,☪️,"[""star"", ""crescent""]","[""звезда"", ""Кресцент""]"
4085,☪,"[""star"", ""crescent""]","[""звезда"", ""Кресцент""]"
4086,☮️,"[""peace symbol"", ""peace sign""]","[""символ мира"", ""знак мира""]"
4087,☮,"[""peace symbol"", ""peace sign""]","[""символ мира"", ""знак мира""]"
4088,🕎,"[""menorah"", ""candelabrum"", ""candles"", ""chanukiah"", ""menorah""]","[""менора"", ""канделабрум"", ""свечи"", ""Чануки"", ""менора""]"
4089,🔯,"[""dotted six-pointed star""]","[""двенадцатая звезда""]"
4090,♈,"[""aries""]","[""ари""]"
4091,♉,"[""taurus""]","[""таурус""]"
4092,♊,"[""gemini""]","[""гемини""]"
4093,♋,"[""cancer""]","[""рак""]"
4094,♌,"[""leo""]","[""Лео""]"
4095,♍,"[""virgo""]","[""Дева""]"
4096,♎,"[""libra""]","[""либра""]"
4097,♏,"[""scorpio"", ""scorpio""]","[""Скорпион"", ""Скорпион""]"
4098,♐,"[""sagittarius""]","[""сгитарий""]"
4099,♑,"[""capricorn""]","[""козерог""]"
4100,♒,"[""aquarius""]","[""аквариум""]"
4101,♓,"[""pisces""]","[""pisces""]"
4102,⛎,"[""ophiuchus""]","[""офиугу""]"
4103,🔀,"[""shuffle tracks button""]","[""shuffle tracks кнопка""]"
4104,🔁,"[""repeat button"", ""loop symbol"", ""retweet""]","[""повторить кнопку"", ""loop символ"", ""ретвит""]"
4105,🔂,"[""repeat single button"", ""circle arrows with number 1"", ""loop once symbol""]","[""повторить одну кнопку"", ""круговые стрелки с номером 1"", ""цикл один раз символ""]"
4106,▶️,"[""play button"", ""play button"", ""right triangle""]","[""играть кнопку"", ""играть кнопку"", ""правый треугольник""]"
