,emoji,keywords_ru
3213,🍁,"{""канадский"": 2, ""карта"": 1, ""канада"": 2, ""лист"": 4}"
3214,🍂,"{""осень"": 1, ""коричневый"": 5, ""листья"": 2, ""падение"": 1, ""лист"": 4}"
3215,🍃,"{""зеленый"": 14, ""листья"": 2, ""ветер"": 4, ""весна"": 2, ""Феттеринг"": 1, ""лист"": 4}"
3216,🍇,"{""виноград"": 1}"
3217,🍈,"{""мускуслон"": 1, ""меддеw"": 1, ""мелон"": 1, ""канталупе"": 1}"
3218,🍉,"{""арбуз"": 1}"
3219,🍊,"{""оранжевый"": 11, ""мандарин"": 1}"
3220,🍋,"{""лимонад"": 1, ""лимон"": 1}"
3221,🍌,"{""банан"": 1, ""плантировать"": 1}"
3222,🍍,"{""ананас"": 1}"
3223,🥭,"{""манго"": 1}"
3224,🍎,"{""красный"": 49, ""вкусно"": 2, ""яблоко"": 3}"
3225,🍏,"{""зеленый"": 14, ""золото"": 2, ""вкусно"": 2, ""Смит"": 1, ""бабушка"": 1, ""яблоко"": 3}"
3226,🍐,"{""груша"": 1}"
3227,🍑,"{""персик"": 1, ""дно"": 1, ""нот"": 1}"
3228,🍒,"{""Вишня"": 3, ""дикая"": 4, ""черри"": 1}"
3229,🍓,"{""клубника"": 2}"
3230,🫐,"{""черника"": 1}"
3231,🥝,"{""фрукты"": 3, ""Киви"": 2, ""китайский"": 4, ""гусьеяника"": 1}"
3232,🍅,"{""помидор"": 1}"
3233,🫒,"{""маслин"": 1}"
3234,🥥,"{""кокос"": 2, ""какао"": 1}"
3235,🥑,"{""авокадо"": 1}"
3236,🍆,"{""овощ"": 1, ""phallic"": 1, ""фиолетовый"": 7, ""баклажан"": 1}"
3237,🥔,"{""картофель"": 2, ""Идахо"": 1, ""запеченный"": 1}"
3238,🥕,"{""морковь"": 1}"
3239,🌽,"{""кукуруза"": 2, ""и"": 12, ""Коб"": 1, ""ухо"": 13}"
3240,🌶️,"{""Спич"": 2, ""Чили"": 2, ""горячее"": 11, ""перец"": 3}"
3241,🌶,"{""Спич"": 2, ""Чили"": 2, ""горячее"": 11, ""перец"": 3}"
3242,🫑,"{""колокол"": 6, ""перец"": 3}"
3243,🥒,"{""Выбрать"": 1, ""огурец"": 1, ""геркин"": 1}"
3244,🥬,"{""капуста"": 1, ""листья"": 1, ""салат"": 1, ""Бок"": 1, ""Русский"": 1, ""зеленый"": 14, ""Кос"": 1, ""Чай"": 1, ""китайский"": 4}"
3245,🥦,"{""брокколи"": 1}"
3246,🧄,"{""чеснок"": 1}"
3247,🧅,"{""лук"": 1}"
3248,🍄,"{""гриб"": 1, ""шом"": 1, ""табуретка"": 1}"
3249,🥜,"{""арахис"": 1, ""орехи"": 1}"
3250,🌰,"{""орех"": 2, ""кукуруза"": 1, ""каштан"": 1}"
3251,🍞,"{""хлеб"": 2, ""Лоаф"": 1}"
3252,🥐,"{""круассан"": 1}"
3253,🥖,"{""хлеб"": 2, ""французский"": 7, ""багет"": 1}"
3254,🫓,"{""плоский"": 2, ""аспа"": 1}"
3255,🥨,"{""pretzel"": 1}"
3256,🥯,"{""пакет"": 1}"
3257,🥞,"{""блинчики"": 1, ""Кройки"": 1, ""горячие торты"": 1}"
3258,🧇,"{""вафли"": 1}"
3259,🧀,"{""клин"": 1, ""сыр"": 1}"
3260,🍖,"{""мясо"": 2, ""барбекю"": 1, ""кость"": 2, ""bbq"": 1, ""Манга"": 1}"
3261,🍗,"{""барабанная помада"": 1, ""ноги"": 8, ""индейка"": 3, ""птица"": 1}"
3262,🥩,"{""стейк"": 1, ""мясо"": 2, ""вырезать"": 1}"
3263,🥓,"{""бекон"": 1, ""сыпери"": 1}"
3264,🍔,"{""гамбургер"": 1, ""сырбургер"": 1, ""бургер"": 1}"
3265,🍟,"{""французский"": 7, ""фри"": 1, ""чипсы"": 1, ""мкдональд"": 4}"
3266,🍕,"{""пицца"": 1, ""перец"": 1}"
3267,🌭,"{""собака"": 7, ""горячий"": 1, ""колбаса"": 1, ""горячее"": 11}"
3268,🥪,"{""сэндвич"": 2}"
3269,🌮,"{""Тако"": 1}"
3270,🌯,"{""упаковка"": 1, ""Буррито"": 1}"
3271,🫔,"{""тамал"": 1, ""тамаль"": 1}"
3272,🥙,"{""гиро"": 1, ""плоский"": 2, ""Донер"": 1, ""Кебаб"": 2, ""фарш"": 1, ""Шаварма"": 1}"
3273,🧆,"{""Фальафель"": 1}"
3274,🥚,"{""яйцо"": 2}"
3275,🍳,"{""жареный"": 2, ""готовить"": 1, ""яйцо"": 2, ""жарить"": 1, ""завтрак"": 1, ""пан"": 2}"
3276,🥘,"{""еда"": 6, ""лук"": 1, ""пан"": 2, ""паэлья"": 1}"
3277,🍲,"{""еда"": 6, ""суп"": 1, ""шеи"": 1, ""бак"": 2, ""чаша"": 5}"
3278,🫕,"{""фото"": 1}"
3279,🥣,"{""ложка"": 2, ""зерно"": 1, ""чаша"": 5}"
3280,🥗,"{""зеленый"": 14, ""салат"": 1}"
3281,🍿,"{""Попкорн"": 1, ""кукуруза"": 2, ""попп"": 2}"
3282,🧈,"{""масло"": 1}"
3283,🧂,"{""соль"": 1}"
3284,🥫,"{""может"": 3, ""еда"": 6, ""Оловянные"": 1, ""консервы"": 1, ""олова"": 1}"
3285,🍱,"{""Бенто"": 1, ""коробка"": 12, ""обед"": 1}"
3286,🍘,"{""трещина"": 1, ""рис"": 6}"
3287,🍙,"{""рис"": 6, ""Русский"": 1, ""шар"": 43}"
3288,🍚,"{""вареные"": 1, ""приготовленный"": 1, ""рис"": 6, ""чаша"": 5, ""спаренный"": 1}"
3289,🍛,"{""еда"": 6, ""Кури"": 1, ""индийский"": 3, ""рис"": 6}"
3290,🍜,"{""ремен"": 1, ""лапша"": 1, ""палочки"": 2, ""Парение"": 2, ""чаша"": 5}"
3291,🍝,"{""спагетти"": 1, ""паста"": 1}"
3292,🍠,"{""жареный"": 1, ""картофель"": 2, ""Сладкий"": 2, ""Ям"": 1, ""Гума"": 1}"
3293,🍢,"{""Оден"": 1, ""скевер"": 1, ""Кебаб"": 2}"
3294,🍣,"{""морепродукты"": 1, ""Сашими"": 1, ""суши"": 1}"
3295,🍤,"{""награда"": 2, ""темпура"": 1, ""жареный"": 2, ""креветки"": 2}"
3296,🍥,"{""рыбакейк"": 1, ""розовый"": 11, ""Свирль"": 2, ""рыба"": 4, ""торт"": 5}"
3297,🥮,"{""луна"": 15, ""торт"": 5}"
3298,🍡,"{""данго"": 1, ""зеленый"": 14, ""розовый"": 11, ""белый"": 58, ""шары"": 1, ""десерт"": 3, ""наклейка"": 1}"
3299,🥟,"{""самосвал"": 1, ""пироги"": 1, ""эмпанада"": 1}"
3300,🥠,"{""печенье"": 2, ""Фортуна"": 2}"
3301,🥡,"{""еда"": 6, ""пай"": 1, ""коробка"": 12, ""Устрица"": 2, ""китайский"": 4}"
3302,🦀,"{""краб"": 1}"
3303,🦞,"{""Лобстер"": 1}"
3304,🦐,"{""награда"": 2, ""креветки"": 2}"
3305,🦑,"{""Сквид"": 1}"
3306,🦪,"{""Устрица"": 2}"
3307,🍦,"{""крем"": 2, ""мр."": 1, ""лед"": 7, ""служение"": 1, ""виски"": 1, ""мягкий"": 2}"
3308,🍧,"{""лед"": 7, ""конус"": 1, ""брит"": 1, ""снег"": 6}"
3309,🍨,"{""крем"": 2, ""лед"": 7, ""десерт"": 3, ""чаша"": 5}"
3310,🍩,"{""Донут"": 1, ""тест"": 1}"
3311,🍪,"{""печенье"": 2, ""шоколад"": 4, ""бисквит"": 1, ""чип"": 1}"
3312,🎂,"{""торт"": 5, ""День рождения"": 2, ""свечи"": 2}"
3313,🍰,"{""клубника"": 2, ""Коротко"": 1, ""кусок"": 2, ""торт"": 5}"
3314,🧁,"{""кекс"": 1, ""фея"": 31, ""торт"": 5}"
3315,🥧,"{""пирог"": 1}"
3316,🍫,"{""шоколад"": 4, ""конфеты"": 2, ""бар"": 2}"
3317,🍬,"{""Лолли"": 1, ""Сладкий"": 2, ""конфеты"": 2}"
3318,🍭,"{""сайер"": 1, ""Лоллипоп"": 1}"
3319,🍮,"{""custard"": 1, ""Карамель"": 1, ""флан"": 1, ""КРЕМ"": 1, ""десерт"": 3, ""пудинг"": 1}"
3320,🍯,"{""бак"": 2, ""мед"": 1}"
3321,🍼,"{""кормление"": 19, ""бутылка"": 4, ""малыш"": 35}"
3322,🥛,"{""стекло"": 6, ""молоко"": 1}"
3323,☕,"{""чай"": 3, ""кофе"": 1, ""напитки"": 2, ""горячее"": 11, ""эспрессо"": 1, ""шоколад"": 4}"
3324,🫖,"{""чайник"": 1}"
3325,🍵,"{""чай"": 3, ""матча"": 1, ""зеленый"": 14, ""Ручка"": 1, ""Чайкап"": 1}"
3326,🍶,"{""ради"": 1, ""бутылка"": 4, ""вино"": 3, ""рис"": 6}"
3327,🍾,"{""Корк"": 1, ""шампанское"": 2, ""вино"": 3, ""попп"": 2, ""праздник"": 3, ""игристая"": 2, ""бутылка"": 4}"
3328,🍷,"{""стекло"": 6, ""вино"": 3, ""красный"": 49, ""алкоголь"": 1}"
3329,🍸,"{""стекло"": 6, ""Мартини"": 1, ""коктейль"": 1}"
3330,🍹,"{""тропический"": 2, ""фрукты"": 3, ""напиток"": 2, ""Тики"": 1, ""удар"": 2}"
3331,🍺,"{""штейн"": 1, ""пиво"": 2, ""кружка"": 1}"
3332,🍻,"{""Клинк"": 2, ""привет"": 2, ""пиво"": 2, ""кружки"": 1}"
3333,🥂,"{""очки"": 2, ""Клинк"": 2, ""привет"": 2, ""шампанское"": 2, ""праздник"": 3}"
3334,🥃,"{""стекло"": 6, ""тумблер"": 1, ""виски"": 1, ""ликер"": 1, ""ром"": 1, ""бурбон"": 1}"
3335,🥤,"{""Гладкая"": 1, ""чашка"": 1, ""молочный коктейль"": 1, ""поп"": 2, ""солом"": 1, ""Сода"": 1, ""мягкий"": 2, ""напиток"": 2}"
3336,🧋,"{""пузырь"": 13, ""чай"": 3, ""боба"": 1}"
3337,🧃,"{""коробка"": 12, ""сок"": 1, ""напитки"": 2}"
3338,🧉,"{""mate"": 1, ""ирба"": 1, ""Чимара"": 1, ""Чимаррон"": 1}"
3339,🧊,"{""лед"": 7}"
3340,🥢,"{""палочки"": 2}"
3341,🍽️,"{""тарелка"": 2, ""нож"": 6, ""ужин"": 2, ""форк"": 3}"
3342,🍽,"{""тарелка"": 2, ""нож"": 6, ""ужин"": 2, ""форк"": 3}"
3343,🍴,"{""столица"": 1, ""нож"": 6, ""серебро"": 1, ""форк"": 3}"
3344,🥄,"{""ложка"": 2}"
3345,🔪,"{""ночери"": 1, ""нож"": 6, ""кухня"": 1}"
3346,🏺,"{""ваза"": 3, ""жак"": 1, ""амфора"": 1}"
3347,🌍,"{""Европа"": 1, ""планета"": 4, ""показывать"": 3, ""глобус"": 4, ""Земля"": 3, ""мир"": 9}"
3348,🌎,"{""глобус"": 4, ""планета"": 4, ""показывать"": 3, ""Америка"": 1, ""Земля"": 3, ""мир"": 9}"
3349,🌏,"{""Азия-аустралия"": 1, ""планета"": 4, ""показывать"": 3, ""глобус"": 4, ""Земля"": 3, ""мир"": 9}"
3350,🌐,"{""Интернет"": 3, ""меридиане"": 1, ""широкий"": 2, ""на сайте"": 1, ""глобус"": 4, ""мир"": 9}"
3351,🗺️,"{""карта"": 4, ""мир"": 9}"
3352,🗺,"{""карта"": 4, ""мир"": 9}"
3353,🗾,"{""карта"": 4, ""Япан"": 3}"
3354,🧭,"{""Компас"": 1}"
3355,🏔️,"{""гора"": 37, ""снегоуборка"": 3}"
3356,🏔,"{""гора"": 37, ""снегоуборка"": 3}"
3357,⛰️,"{""гора"": 37}"
3358,⛰,"{""гора"": 37}"
3359,🌋,"{""вулкан"": 1}"
3360,🗻,"{""маунт"": 1, ""гора"": 37, ""Фуджи-сан"": 1, ""Фуджи"": 1, ""снегоуборка"": 3}"
3361,🏕️,"{""кемпинг"": 2}"
3362,🏕,"{""кемпинг"": 2}"
3363,🏖️,"{""зонт"": 8, ""пляж"": 4}"
3364,🏖,"{""зонт"": 8, ""пляж"": 4}"
3365,🏜️,"{""пустыня"": 5}"
3366,🏜,"{""пустыня"": 5}"
3367,🏝️,"{""пустыня"": 5, ""остров"": 8}"
3368,🏝,"{""пустыня"": 5, ""остров"": 8}"
3369,🏞️,"{""национальная"": 2, ""парк"": 4}"
3370,🏞,"{""национальная"": 2, ""парк"": 4}"
3371,🏟️,"{""дедушка"": 2, ""спорт"": 3, ""стадион"": 2}"
3372,🏟,"{""дедушка"": 2, ""спорт"": 3, ""стадион"": 2}"
3373,🏛️,"{""здание"": 8, ""классический"": 2}"
3374,🏛,"{""здание"": 8, ""классический"": 2}"
3375,🏗️,"{""здание"": 8, ""кран"": 2, ""строительство"": 33}"
3376,🏗,"{""здание"": 8, ""кран"": 2, ""строительство"": 33}"
3377,🧱,"{""кирпич"": 1}"
3378,🪨,"{""рок"": 9}"
3379,🪵,"{""дерево"": 1}"
3380,🛖,"{""хижина"": 1}"
3381,🏘️,"{""дома"": 2}"
3382,🏘,"{""дома"": 2}"
3383,🏚️,"{""Охотно"": 2, ""заброшено"": 2, ""старые"": 16, ""дереликт"": 2, ""дом"": 4}"
3384,🏚,"{""Охотно"": 2, ""заброшено"": 2, ""старые"": 16, ""дереликт"": 2, ""дом"": 4}"
3385,🏠,"{""дома"": 2, ""дом"": 4}"
3386,🏡,"{""сад"": 2, ""дом"": 4, ""дерево"": 6}"
3387,🏢,"{""офис"": 21, ""здание"": 8, ""город"": 6, ""высота"": 1}"
3388,🏣,"{""почта"": 2, ""Япан"": 3, ""офис"": 21, ""японский"": 28, ""пост"": 3, ""марка"": 22}"
3389,🏤,"{""пост"": 3, ""офис"": 21}"
3390,🏥,"{""экстренная"": 3, ""комната"": 33, ""больница"": 2, ""медицинская"": 4, ""крест"": 12, ""красный"": 49}"
3391,🏦,"{""банк"": 1, ""филиал"": 1, ""бк"": 1, ""баккуруру"": 1}"
3392,🏨,"{""здание"": 8, ""отель"": 2, ""размещение"": 1, ""ч"": 1}"
3393,🏩,"{""любовь"": 6, ""отель"": 2, ""больница"": 2, ""сердце"": 234}"
3394,🏪,"{""Удобство"": 1, ""kwik-e-март"": 1, ""магазин"": 2, ""угол"": 1, ""7-eleven®"": 1, ""Круглосуточно"": 1}"
3395,🏫,"{""высокий"": 6, ""элементарный"": 1, ""середина"": 8, ""башня"": 2, ""часы"": 18, ""школа"": 4}"
3396,🏬,"{""покупка"": 4, ""Магазины"": 1, ""центр"": 1, ""отдел"": 2, ""магазин"": 2}"
3397,🏭,"{""загрязнение"": 1, ""промышленные"": 1, ""Смог"": 1, ""фабрика"": 19, ""промышленности"": 1}"
3398,🏯,"{""крепость"": 1, ""замок"": 2, ""японский"": 28}"
3399,🏰,"{""замок"": 2, ""турель"": 1}"
3400,💒,"{""Церковь"": 2, ""Свадьба"": 2, ""брак"": 1, ""сердце"": 234}"
3401,🗼,"{""токио"": 1, ""башня"": 2, ""красный"": 49, ""eiffel"": 1}"
3402,🗽,"{""йорк"": 2, ""свобода"": 2, ""новый"": 11, ""статуя"": 2}"
3403,⛪,"{""здание"": 8, ""Церковь"": 2, ""крест"": 12}"
3404,🕌,"{""крыша"": 1, ""мечеть"": 1, ""Домед"": 1, ""минарет"": 1}"
3405,🛕,"{""храм"": 2, ""инду"": 1}"
3406,🕍,"{""храм"": 2, ""синагога"": 1, ""синагог"": 1, ""еврейский"": 1}"
3407,⛩️,"{""shinto"": 2, ""святыня"": 2, ""kami-no-мичи"": 2}"
3408,⛩,"{""shinto"": 2, ""святыня"": 2, ""kami-no-мичи"": 2}"
3409,🕋,"{""Кааба"": 1, ""Мекка"": 1}"
3410,⛲,"{""функция"": 1, ""фонтан"": 6, ""вода"": 39, ""парк"": 4}"
3411,⛺,"{""кемпинг"": 3, ""палатка"": 2}"
3412,🌁,"{""Фог"": 5, ""Фогги"": 1, ""город"": 6, ""мост"": 2}"
3413,🌃,"{""звезда"": 2, ""ночь"": 3, ""город"": 6, ""Звезды"": 3}"
3414,🏙️,"{""Городской пейзаж"": 3}"
3415,🏙,"{""Городской пейзаж"": 3}"
3416,🌄,"{""утро"": 1, ""Восход солнца"": 2, ""горы"": 1}"
3417,🌅,"{""Восход солнца"": 2, ""закат"": 2}"
3418,🌆,"{""небо"": 2, ""город"": 6, ""Дуск"": 1, ""оранжевый"": 11, ""Городской пейзаж"": 3}"
3419,🌇,"{""закат"": 2, ""город"": 6}"
3420,🌉,"{""ночь"": 3, ""мост"": 2, ""ворота"": 1, ""золото"": 2}"
3421,♨️,"{""весны"": 2, ""пар"": 5, ""горячее"": 11, ""онсен"": 2}"
3422,♨,"{""весны"": 2, ""пар"": 5, ""горячее"": 11, ""онсен"": 2}"
3423,🎠,"{""Ярмарка"": 2, ""лошади"": 9, ""Карнавал"": 1, ""ДРУЗЬЯ"": 1, ""тур"": 3, ""перейти"": 1, ""карусель"": 1}"
3424,🎡,"{""Ярмарка"": 2, ""Наблюдение"": 1, ""большой"": 4, ""Феррис"": 1, ""колесо"": 3}"
3425,🎢,"{""парк"": 4, ""тема"": 1, ""побережье"": 1, ""ролик"": 2}"
3426,💈,"{""полоски"": 1, ""парикмахер"": 2, ""барбер"": 1, ""полюс"": 3, ""магазин"": 2}"
3427,🎪,"{""цирк"": 1, ""Топ"": 3, ""палатка"": 2, ""большой"": 4}"
3428,🚂,"{""пар"": 5, ""железная дорога"": 6, ""локомотив"": 1, ""поезд"": 7}"
3429,🚃,"{""железная дорога"": 6, ""железнодорожного автомобиля"": 1, ""вагон"": 1, ""автомобиль"": 10}"
3430,🚄,"{""высокоскоростной"": 1, ""поезд"": 7}"
3431,🚅,"{""shinkansen"": 1, ""пули"": 1, ""поезд"": 7}"
3432,🚆,"{""поезд"": 7, ""регулярные"": 1, ""дизель"": 1, ""пассажир"": 3, ""электрический"": 4}"
3433,🚇,"{""метро"": 3, ""туба"": 2}"
3434,🚈,"{""рельс"": 1, ""свет"": 566}"
3435,🚉,"{""станция"": 2, ""платформа"": 1, ""поезд"": 7}"
3436,🚊,"{""Трамвай"": 2}"
3437,🚝,"{""монорельс"": 1}"
3438,🚞,"{""железная дорога"": 6, ""поезд"": 7, ""Функциональный"": 1, ""гора"": 37}"
3439,🚋,"{""Трамвай"": 2, ""автомобиль"": 10}"
3440,🚌,"{""школа"": 4, ""автобус"": 5}"
3441,🚍,"{""Вход"": 10, ""автобус"": 5, ""фронт"": 5}"
3442,🚎,"{""троллей"": 1, ""троллейбус"": 1, ""автобус"": 5, ""электрический"": 4}"
3443,🚐,"{""люди-мовера"": 1, ""микроавтобус"": 1, ""минивэн"": 1}"
3444,🚑,"{""скорой помощи"": 1}"
3445,🚒,"{""огонь"": 6, ""двигатель"": 1, ""грузовик"": 4, ""отдел"": 2}"
3446,🚓,"{""полиции"": 33, ""справка"": 3, ""автомобиль"": 10, ""сторона"": 3}"
3447,🚔,"{""полиции"": 33, ""Вход"": 10, ""фронт"": 5, ""справка"": 3, ""🚓"": 1, ""автомобиль"": 10}"
3448,🚕,"{""такси"": 2, ""йорк"": 2, ""новый"": 11, ""налогикаб"": 2, ""сторона"": 3}"
3449,🚖,"{""такси"": 2, ""Вход"": 10, ""фронт"": 5, ""налогикаб"": 2}"
3450,🚗,"{""автомобиль"": 10, ""сторона"": 3, ""красный"": 49}"
3451,🚘,"{""Вход"": 10, ""фронт"": 5, ""автомобиль"": 10}"
3452,🚙,"{""автомобиль"": 1, ""утилита"": 1, ""РВ"": 1, ""спорт"": 3, ""кемперван"": 1, ""автодом"": 1}"
3453,🛻,"{""пикап"": 1, ""грузовик"": 4}"
3454,🚚,"{""грузовик"": 4, ""доставка"": 3}"
3455,🚛,"{""лори"": 1, ""артикулы"": 1, ""грузовик"": 4, ""зеленый"": 14}"
3456,🚜,"{""трактор"": 1, ""ферма"": 1, ""сельское хозяйство"": 2}"
3457,🏎️,"{""формула"": 2, ""гонки"": 9, ""Ф1"": 2, ""автомобиль"": 10, ""один"": 6}"
3458,🏎,"{""формула"": 2, ""гонки"": 9, ""Ф1"": 2, ""автомобиль"": 10, ""один"": 6}"
3459,🏍️,"{""мотоцикл"": 2}"
3460,🏍,"{""мотоцикл"": 2}"
3461,🛵,"{""vespa"": 1, ""велосипед"": 4, ""цикл"": 1, ""скутер"": 2, ""мотор"": 3}"
3462,🦽,"{""инвалидное кресло"": 39, ""Руководство"": 19}"
3463,🦼,"{""инвалидное кресло"": 39, ""моторизованный"": 19}"
3464,🛺,"{""Тук"": 1, ""авто"": 1, ""рикшау"": 1}"
3465,🚲,"{""велосипед"": 2, ""нажмите"": 1}"
3466,🛴,"{""скутер"": 2, ""удар"": 1}"
3467,🛹,"{""скейтборд"": 1}"
3468,🛼,"{""в сети"": 1, ""дерби"": 1, ""коньки"": 3, ""ролик"": 2}"
3469,🚏,"{""автобус"": 5, ""остановиться"": 5}"
3470,🛣️,"{""межгосударственные"": 2, ""автострад"": 2, ""шоссе"": 2, ""дорога"": 2}"
3471,🛣,"{""межгосударственные"": 2, ""автострад"": 2, ""шоссе"": 2, ""дорога"": 2}"
3472,🛤️,"{""железная дорога"": 6, ""трек"": 6}"
3473,🛤,"{""железная дорога"": 6, ""трек"": 6}"
3474,🛢️,"{""барабан"": 4, ""масло"": 3}"
3475,🛢,"{""барабан"": 4, ""масло"": 3}"
3476,⛽,"{""бензин"": 1, ""газ"": 1, ""топливо"": 1, ""насос"": 2}"
3477,🚨,"{""полиции"": 33, ""экстренная"": 3, ""свет"": 566, ""сирен"": 1, ""автомобиль"": 10, ""флешинг"": 1}"
3478,🚥,"{""трафик"": 2, ""горизонтальный"": 3, ""свет"": 566}"
3479,🚦,"{""вертикальный"": 4, ""трафик"": 2, ""свет"": 566}"
3480,🛑,"{""знак"": 26, ""остановиться"": 5}"
3481,🚧,"{""дорожная работа"": 1, ""знак"": 26, ""черный"": 15, ""строительство"": 33, ""желтый"": 10, ""полосатый"": 1}"
3482,⚓,"{""шаблон"": 1, ""Адмиралти"": 1, ""анкер"": 1, ""рыбак"": 1}"
3483,⛵,"{""dinghy"": 1, ""парусная лодка"": 1, ""яхта"": 1}"
3484,🛶,"{""каноэ"": 1}"
3485,🚤,"{""Скоростная лодка"": 1, ""Powerboat"": 1, ""моторная лодка"": 1}"
3486,🛳️,"{""пассажир"": 3, ""корабль"": 4}"
3487,🛳,"{""пассажир"": 3, ""корабль"": 4}"
3488,⛴️,"{""паром"": 2}"
3489,⛴,"{""паром"": 2}"
3490,🛥️,"{""мотор"": 3, ""лодка"": 32}"
3491,🛥,"{""мотор"": 3, ""лодка"": 32}"
3492,🚢,"{""Круиз"": 1, ""корабль"": 4}"
3493,✈️,"{""самолет"": 6, ""аэроплан"": 7}"
3494,✈,"{""самолет"": 6, ""аэроплан"": 7}"
3495,🛩️,"{""самолет"": 7, ""маленький"": 12, ""аэроплан"": 7}"
3496,🛩,"{""самолет"": 7, ""маленький"": 12, ""аэроплан"": 7}"
3497,🛫,"{""самолет"": 7, ""принимать"": 7, ""Свернуть"": 2, ""аэроплан"": 7, ""выезд"": 1}"
3498,🛬,"{""самолет"": 7, ""аэроплан"": 7, ""посадка"": 1, ""Прибытие"": 1}"
3499,🪂,"{""парашют"": 1}"
3500,💺,"{""автобус"": 5, ""поезд"": 7, ""самолет"": 7, ""аэроплан"": 7, ""место"": 1}"
3501,🚁,"{""вертолет"": 1}"
3502,🚟,"{""Подвеска"": 1, ""железная дорога"": 6}"
3503,🚠,"{""канатная дорога"": 1, ""гора"": 37}"
3504,🚡,"{""Гондола"": 1, ""канатная дорога"": 1, ""автомобиль"": 10, ""аэро"": 1, ""Трамвай"": 1, ""кабель"": 2}"
3505,🛰️,"{""спутник"": 3}"
3506,🛰,"{""спутник"": 3}"
3507,🚀,"{""корабль"": 4, ""трансфер"": 1, ""пространство"": 3, ""ракета"": 1}"
3508,🛸,"{""летать"": 3, ""уфо"": 1, ""соус"": 1}"
3509,🛎️,"{""колокол"": 6, ""Бельхоп"": 3}"
3510,🛎,"{""колокол"": 6, ""Бельхоп"": 3}"
3511,🧳,"{""чемодан"": 3, ""багаж"": 2}"
3512,⌛,"{""сделано"": 3, ""часовое стекло"": 2}"
3513,⏳,"{""не"": 2, ""сделано"": 3, ""часовое стекло"": 2}"
3514,⌚,"{""часы"": 1, ""запястья"": 1, ""смотреть"": 1, ""яблоко"": 3}"
3515,⏰,"{""тревога"": 2, ""часы"": 18}"
3516,⏱️,"{""секундомер"": 2}"
3517,⏱,"{""секундомер"": 2}"
3518,⏲️,"{""часы"": 18, ""Таймер"": 2}"
3519,⏲,"{""часы"": 18, ""Таймер"": 2}"
3520,🕰️,"{""мантелей"": 2, ""часы"": 18}"
3521,🕰,"{""мантелей"": 2, ""часы"": 18}"
3522,🕛,"{""’"": 25, ""часы"": 18, ""о"": 14, ""двенадцать"": 1}"
3523,🕧,"{""двенадцать тридцать"": 1}"
3524,🕐,"{""’"": 25, ""один"": 6, ""часы"": 18, ""о"": 14}"
3525,🕜,"{""one-тридцать"": 1}"
3526,🕑,"{""’"": 25, ""часы"": 18, ""два"": 7, ""о"": 14}"
3527,🕝,"{""две тысячи"": 1}"
3528,🕒,"{""’"": 25, ""часы"": 18, ""о"": 14, ""три"": 3}"
3529,🕞,"{""тридцать"": 1}"
3530,🕓,"{""четыре"": 4, ""’"": 25, ""часы"": 18, ""о"": 14}"
3531,🕟,"{""четыредцать"": 1}"
3532,🕔,"{""’"": 25, ""часы"": 18, ""о"": 14, ""пять"": 6}"
3533,🕠,"{""пять-тридцать"": 1}"
3534,🕕,"{""’"": 25, ""часы"": 18, ""о"": 14, ""шесть"": 3}"
3535,🕡,"{""шесть тридцать"": 1}"
3536,🕖,"{""’"": 25, ""часы"": 18, ""о"": 14, ""семь"": 3}"
3537,🕢,"{""семитысячность"": 1}"
3538,🕗,"{""’"": 25, ""часы"": 18, ""восемь"": 3, ""о"": 14}"
3539,🕣,"{""восьмитысяча"": 1}"
3540,🕘,"{""девять"": 3, ""’"": 25, ""часы"": 18, ""о"": 14}"
3541,🕤,"{""девять тридцать"": 1}"
3542,🕙,"{""’"": 25, ""десять"": 2, ""часы"": 18, ""о"": 14}"
3543,🕥,"{""десять тридцать"": 1}"
3544,🕚,"{""’"": 25, ""часы"": 18, ""одиннадцать"": 1, ""о"": 14}"
3545,🕦,"{""одиннадцать тридцать"": 1}"
3546,🌑,"{""закрыть"": 1, ""новый"": 11, ""луна"": 15, ""тень"": 2, ""темнота"": 564, ""солнечный"": 1}"
3547,🌒,"{""луна"": 15, ""восковые"": 2, ""Кресцент"": 5}"
3548,🌓,"{""квартал"": 4, ""первый"": 2, ""луна"": 15}"
3549,🌔,"{""луна"": 15, ""gibbous"": 2, ""восковые"": 2}"
3550,🌕,"{""полный"": 3, ""луна"": 15}"
3551,🌖,"{""луна"": 15, ""gibbous"": 2, ""Тюнинг"": 2}"
3552,🌗,"{""квартал"": 4, ""последний"": 4, ""луна"": 15}"
3553,🌘,"{""луна"": 15, ""Тюнинг"": 2, ""Кресцент"": 5}"
3554,🌙,"{""луна"": 15, ""Кресцент"": 5}"
3555,🌚,"{""новый"": 11, ""лицо"": 119, ""луна"": 15, ""Молестер"": 1, ""темнота"": 564, ""Крики"": 1}"
3556,🌛,"{""квартал"": 4, ""первый"": 2, ""лицо"": 119, ""луна"": 15}"
3557,🌜,"{""квартал"": 4, ""лицо"": 119, ""последний"": 4, ""луна"": 15}"
3558,🌡️,"{""термометр"": 3, ""погода"": 2, ""температура"": 2, ""горячее"": 11}"
3559,🌡,"{""термометр"": 3, ""погода"": 2, ""температура"": 2, ""горячее"": 11}"
3560,☀️,"{""солнце"": 10}"
3561,☀,"{""солнце"": 10}"
