,emoji,meanings,words,poses
3853,💸,"[""Money with Wings"", ""Flying Money"", ""Losing Money""]","[""money"", ""wings"", ""flying"", ""losing"", ""with""]","{""money"": ""NOUN"", ""with"": ""ADP"", ""wings"": ""NOUN"", ""flying"": ""VERB"", ""losing"": ""VERB""}"
3854,💳,"[""Credit Card"", ""AMEX"", ""Diners Club"", ""Mastercard"", ""VISA Card""]","[""mastercard"", ""card"", ""amex"", ""diners"", ""club"", ""visa"", ""credit""]","{""credit"": ""NOUN"", ""card"": ""NOUN"", ""amex"": ""NOUN"", ""diners"": ""NOUN"", ""club"": ""NOUN"", ""mastercard"": ""NOUN"", ""visa"": ""NOUN""}"
3855,🧾,"[""Receipt""]","[""receipt""]","{""receipt"": ""NOUN""}"
3856,💹,"[""Chart Increasing with Yen"", ""Yen Exchange Rate"", ""Yen Graph""]","[""graph"", ""chart"", ""rate"", ""exchange"", ""increasing"", ""with"", ""yen""]","{""chart"": ""NOUN"", ""increasing"": ""VERB"", ""with"": ""ADP"", ""yen"": ""NOUN"", ""exchange"": ""NOUN"", ""rate"": ""NOUN"", ""graph"": ""NOUN""}"
3857,✉️,"[""Envelope"", ""✉ Letter""]","[""letter"", ""envelope"", ""✉""]","{""envelope"": ""NOUN"", ""✉"": ""ADJ"", ""letter"": ""NOUN""}"
3858,✉,"[""Envelope"", ""✉ Letter""]","[""letter"", ""envelope"", ""✉""]","{""envelope"": ""NOUN"", ""✉"": ""ADJ"", ""letter"": ""NOUN""}"
3859,📧,"[""E-Mail"", ""Email""]","[""e-mail"", ""email""]","{""e-mail"": ""NOUN"", ""email"": ""NOUN""}"
3860,📨,"[""Incoming Envelope"", ""Envelope With Lines"", ""Fast Envelope""]","[""fast"", ""incoming"", ""lines"", ""with"", ""envelope""]","{""incoming"": ""VERB"", ""envelope"": ""NOUN"", ""with"": ""ADP"", ""lines"": ""NOUN"", ""fast"": ""NOUN""}"
3861,📩,"[""Envelope with Arrow"", ""Down Arrow Envelope"", ""Insert In Envelope""]","[""arrow"", ""insert"", ""down"", ""with"", ""in"", ""envelope""]","{""envelope"": ""NOUN"", ""with"": ""ADP"", ""arrow"": ""NOUN"", ""down"": ""NOUN"", ""insert"": ""NOUN"", ""in"": ""ADP""}"
3862,📤,"[""Outbox Tray"", ""Outbox""]","[""outbox"", ""tray""]","{""outbox"": ""NOUN"", ""tray"": ""NOUN""}"
3863,📥,"[""Inbox Tray"", ""Inbox""]","[""inbox"", ""tray""]","{""inbox"": ""NOUN"", ""tray"": ""NOUN""}"
3864,📦,"[""Package"", ""Box"", ""Parcel""]","[""parcel"", ""package"", ""box""]","{""package"": ""NOUN"", ""box"": ""NOUN"", ""parcel"": ""NOUN""}"
3865,📫,"[""Closed Mailbox with Raised Flag""]","[""flag"", ""with"", ""closed"", ""raised"", ""mailbox""]","{""closed"": ""VERB"", ""mailbox"": ""NOUN"", ""with"": ""ADP"", ""raised"": ""VERB"", ""flag"": ""NOUN""}"
3866,📪,"[""Closed Mailbox with Lowered Flag""]","[""flag"", ""lowered"", ""closed"", ""with"", ""mailbox""]","{""closed"": ""VERB"", ""mailbox"": ""NOUN"", ""with"": ""ADP"", ""lowered"": ""NOUN"", ""flag"": ""NOUN""}"
3867,📬,"[""Open Mailbox with Raised Flag"", ""Open Mailbox""]","[""open"", ""flag"", ""with"", ""raised"", ""mailbox""]","{""open"": ""ADJ"", ""mailbox"": ""NOUN"", ""with"": ""ADP"", ""raised"": ""VERB"", ""flag"": ""NOUN""}"
3868,📭,"[""Open Mailbox with Lowered Flag""]","[""open"", ""flag"", ""lowered"", ""with"", ""mailbox""]","{""open"": ""ADJ"", ""mailbox"": ""NOUN"", ""with"": ""ADP"", ""lowered"": ""NOUN"", ""flag"": ""NOUN""}"
3869,📮,"[""Postbox""]","[""postbox""]","{""postbox"": ""NOUN""}"
3870,🗳️,"[""Ballot Box with Ballot"", ""Vote Box"", ""Voting""]","[""ballot"", ""voting"", ""with"", ""vote"", ""box""]","{""ballot"": ""NOUN"", ""box"": ""NOUN"", ""with"": ""ADP"", ""vote"": ""NOUN"", ""voting"": ""VERB""}"
3871,🗳,"[""Ballot Box with Ballot"", ""Vote Box"", ""Voting""]","[""ballot"", ""voting"", ""with"", ""vote"", ""box""]","{""ballot"": ""NOUN"", ""box"": ""NOUN"", ""with"": ""ADP"", ""vote"": ""NOUN"", ""voting"": ""VERB""}"
3872,✏️,"[""Pencil"", ""✏ Lead Pencil""]","[""lead"", ""pencil"", ""✏""]","{""pencil"": ""NOUN"", ""✏"": ""ADJ"", ""lead"": ""NOUN""}"
3873,✏,"[""Pencil"", ""✏ Lead Pencil""]","[""lead"", ""pencil"", ""✏""]","{""pencil"": ""NOUN"", ""✏"": ""ADJ"", ""lead"": ""NOUN""}"
3874,✒️,"[""Black Nib"", ""✒ Pen Nib"", ""✒ Fountain Pen""]","[""fountain"", ""black"", ""✒"", ""nib"", ""pen""]","{""black"": ""NOUN"", ""nib"": ""NOUN"", ""✒"": ""NOUN"", ""pen"": ""NOUN"", ""fountain"": ""NOUN""}"
3875,✒,"[""Black Nib"", ""✒ Pen Nib"", ""✒ Fountain Pen""]","[""fountain"", ""black"", ""✒"", ""nib"", ""pen""]","{""black"": ""NOUN"", ""nib"": ""NOUN"", ""✒"": ""NOUN"", ""pen"": ""NOUN"", ""fountain"": ""NOUN""}"
3876,🖋️,"[""Fountain Pen""]","[""pen"", ""fountain""]","{""fountain"": ""NOUN"", ""pen"": ""NOUN""}"
3877,🖋,"[""Fountain Pen""]","[""pen"", ""fountain""]","{""fountain"": ""NOUN"", ""pen"": ""NOUN""}"
3878,🖊️,"[""Pen""]","[""pen""]","{""pen"": ""NOUN""}"
3879,🖊,"[""Pen""]","[""pen""]","{""pen"": ""NOUN""}"
3880,🖌️,"[""Paintbrush"", ""Brush""]","[""paintbrush"", ""brush""]","{""paintbrush"": ""NOUN"", ""brush"": ""NOUN""}"
3881,🖌,"[""Paintbrush"", ""Brush""]","[""paintbrush"", ""brush""]","{""paintbrush"": ""NOUN"", ""brush"": ""NOUN""}"
3882,🖍️,"[""Crayon""]","[""crayon""]","{""crayon"": ""NOUN""}"
3883,🖍,"[""Crayon""]","[""crayon""]","{""crayon"": ""NOUN""}"
3884,📝,"[""Memo"", ""Memorandum"", ""Note"", ""Pencil And Paper""]","[""memorandum"", ""memo"", ""pencil"", ""note"", ""paper"", ""and""]","{""memo"": ""NOUN"", ""memorandum"": ""NOUN"", ""note"": ""NOUN"", ""pencil"": ""NOUN"", ""and"": ""CONJ"", ""paper"": ""NOUN""}"
3885,💼,"[""Briefcase"", ""Suitcase""]","[""briefcase"", ""suitcase""]","{""briefcase"": ""NOUN"", ""suitcase"": ""NOUN""}"
3886,📁,"[""File Folder"", ""Folder"", ""Manilla Folder""]","[""folder"", ""manilla"", ""file""]","{""file"": ""NOUN"", ""folder"": ""NOUN"", ""manilla"": ""NOUN""}"
3887,📂,"[""Open File Folder"", ""Open Folder""]","[""open"", ""folder"", ""file""]","{""open"": ""ADJ"", ""file"": ""NOUN"", ""folder"": ""NOUN""}"
3888,🗂️,"[""Card Index Dividers""]","[""card"", ""dividers"", ""index""]","{""card"": ""NOUN"", ""index"": ""NOUN"", ""dividers"": ""NOUN""}"
3889,🗂,"[""Card Index Dividers""]","[""card"", ""dividers"", ""index""]","{""card"": ""NOUN"", ""index"": ""NOUN"", ""dividers"": ""NOUN""}"
3890,📅,"[""Calendar"", ""July 17"", ""World Emoji Day""]","[""17"", ""world"", ""day"", ""emoji"", ""calendar"", ""july""]","{""calendar"": ""NOUN"", ""july"": ""NOUN"", ""17"": ""NUM"", ""world"": ""NOUN"", ""emoji"": ""NOUN"", ""day"": ""NOUN""}"
3891,📆,"[""Tear-Off Calendar"", ""Day Calendar"", ""Desk Calendar""]","[""desk"", ""tear-off"", ""day"", ""calendar""]","{""tear-off"": ""NUM"", ""calendar"": ""NOUN"", ""day"": ""NOUN"", ""desk"": ""NOUN""}"
3892,🗒️,"[""Spiral Notepad""]","[""spiral"", ""notepad""]","{""spiral"": ""NOUN"", ""notepad"": ""NOUN""}"
3893,🗒,"[""Spiral Notepad""]","[""spiral"", ""notepad""]","{""spiral"": ""NOUN"", ""notepad"": ""NOUN""}"
3894,🗓️,"[""Spiral Calendar""]","[""calendar"", ""spiral""]","{""spiral"": ""NOUN"", ""calendar"": ""NOUN""}"
3895,🗓,"[""Spiral Calendar""]","[""calendar"", ""spiral""]","{""spiral"": ""NOUN"", ""calendar"": ""NOUN""}"
3896,📇,"[""Card Index"", ""Index Card"", ""Rolodex"", ""System Card""]","[""rolodex"", ""system"", ""card"", ""index""]","{""card"": ""NOUN"", ""index"": ""NOUN"", ""rolodex"": ""NOUN"", ""system"": ""NOUN""}"
3897,📈,"[""Chart Increasing"", ""Positive Chart"", ""Up Pointing Graph""]","[""up"", ""positive"", ""graph"", ""chart"", ""pointing"", ""increasing""]","{""chart"": ""NOUN"", ""increasing"": ""VERB"", ""positive"": ""ADJ"", ""up"": ""ADP"", ""pointing"": ""VERB"", ""graph"": ""NOUN""}"
3898,📉,"[""Chart Decreasing"", ""Down Pointing Graph"", ""Negative Chart""]","[""negative"", ""graph"", ""chart"", ""pointing"", ""decreasing"", ""down""]","{""chart"": ""NOUN"", ""decreasing"": ""NOUN"", ""down"": ""ADP"", ""pointing"": ""NOUN"", ""graph"": ""NOUN"", ""negative"": ""ADJ""}"
3899,📊,"[""Bar Chart"", ""Bar Graph""]","[""graph"", ""chart"", ""bar""]","{""bar"": ""NOUN"", ""chart"": ""NOUN"", ""graph"": ""NOUN""}"
3900,📋,"[""Clipboard""]","[""clipboard""]","{""clipboard"": ""NOUN""}"
3901,📌,"[""Pushpin"", ""Thumb Tack""]","[""thumb"", ""pushpin"", ""tack""]","{""pushpin"": ""NOUN"", ""thumb"": ""NOUN"", ""tack"": ""NOUN""}"
3902,📍,"[""Round Pushpin"", ""Dropped Pin"", ""Map Pin"", ""Pin"", ""Red Pin""]","[""map"", ""dropped"", ""red"", ""pin"", ""round"", ""pushpin""]","{""round"": ""NOUN"", ""pushpin"": ""NOUN"", ""dropped"": ""VERB"", ""pin"": ""NOUN"", ""map"": ""NOUN"", ""red"": ""ADJ""}"
3903,📎,"[""Paperclip"", ""Clippy""]","[""paperclip"", ""clippy""]","{""paperclip"": ""NOUN"", ""clippy"": ""ADJ""}"
3904,🖇️,"[""Linked Paperclips""]","[""paperclips"", ""linked""]","{""linked"": ""VERB"", ""paperclips"": ""NOUN""}"
3905,🖇,"[""Linked Paperclips""]","[""paperclips"", ""linked""]","{""linked"": ""VERB"", ""paperclips"": ""NOUN""}"
3906,📏,"[""Straight Ruler""]","[""ruler"", ""straight""]","{""straight"": ""NOUN"", ""ruler"": ""NOUN""}"
3907,📐,"[""Triangular Ruler"", ""Triangle Ruler""]","[""triangle"", ""ruler"", ""triangular""]","{""triangular"": ""ADJ"", ""ruler"": ""NOUN"", ""triangle"": ""NOUN""}"
3908,✂️,"[""Scissors"", ""Cutting""]","[""scissors"", ""cutting""]","{""scissors"": ""NOUN"", ""cutting"": ""VERB""}"
3909,✂,"[""Scissors"", ""Cutting""]","[""scissors"", ""cutting""]","{""scissors"": ""NOUN"", ""cutting"": ""VERB""}"
3910,🗃️,"[""Card File Box""]","[""file"", ""card"", ""box""]","{""card"": ""NOUN"", ""file"": ""NOUN"", ""box"": ""NOUN""}"
3911,🗃,"[""Card File Box""]","[""file"", ""card"", ""box""]","{""card"": ""NOUN"", ""file"": ""NOUN"", ""box"": ""NOUN""}"
3912,🗄️,"[""File Cabinet"", ""Filing Cabinet""]","[""filing"", ""cabinet"", ""file""]","{""file"": ""NOUN"", ""cabinet"": ""NOUN"", ""filing"": ""VERB""}"
3913,🗄,"[""File Cabinet"", ""Filing Cabinet""]","[""filing"", ""cabinet"", ""file""]","{""file"": ""NOUN"", ""cabinet"": ""NOUN"", ""filing"": ""VERB""}"
3914,🗑️,"[""Wastebasket"", ""Garbage Can"", ""Rubbish Bin"", ""Trash Can"", ""Wastepaper Basket""]","[""basket"", ""trash"", ""bin"", ""wastepaper"", ""can"", ""wastebasket"", ""rubbish"", ""garbage""]","{""wastebasket"": ""NOUN"", ""garbage"": ""NOUN"", ""can"": ""VERB"", ""rubbish"": ""ADJ"", ""bin"": ""NOUN"", ""trash"": ""NOUN"", ""wastepaper"": ""NOUN"", ""basket"": ""NOUN""}"
3915,🗑,"[""Wastebasket"", ""Garbage Can"", ""Rubbish Bin"", ""Trash Can"", ""Wastepaper Basket""]","[""basket"", ""trash"", ""bin"", ""wastepaper"", ""can"", ""wastebasket"", ""rubbish"", ""garbage""]","{""wastebasket"": ""NOUN"", ""garbage"": ""NOUN"", ""can"": ""VERB"", ""rubbish"": ""ADJ"", ""bin"": ""NOUN"", ""trash"": ""NOUN"", ""wastepaper"": ""NOUN"", ""basket"": ""NOUN""}"
3916,🔒,"[""Locked"", ""Closed Lock"", ""Padlock""]","[""closed"", ""locked"", ""padlock"", ""lock""]","{""locked"": ""VERB"", ""closed"": ""VERB"", ""lock"": ""NOUN"", ""padlock"": ""NOUN""}"
3917,🔓,"[""Unlocked"", ""Open Padlock"", ""Unlock""]","[""open"", ""unlocked"", ""unlock"", ""padlock""]","{""unlocked"": ""VERB"", ""open"": ""ADJ"", ""padlock"": ""NOUN"", ""unlock"": ""NOUN""}"
3918,🔏,"[""Locked with Pen"", ""Lock And Pen"", ""Lock With Fountain Pen""]","[""lock"", ""locked"", ""fountain"", ""and"", ""with"", ""pen""]","{""locked"": ""VERB"", ""with"": ""ADP"", ""pen"": ""NOUN"", ""lock"": ""NOUN"", ""and"": ""CONJ"", ""fountain"": ""NOUN""}"
3919,🔐,"[""Locked with Key"", ""Lock And Key""]","[""lock"", ""locked"", ""key"", ""and"", ""with""]","{""locked"": ""VERB"", ""with"": ""ADP"", ""key"": ""NOUN"", ""lock"": ""NOUN"", ""and"": ""CONJ""}"
3920,🔑,"[""Key"", ""Gold Key""]","[""gold"", ""key""]","{""key"": ""NOUN"", ""gold"": ""NOUN""}"
3921,🗝️,"[""Old Key""]","[""old"", ""key""]","{""old"": ""NOUN"", ""key"": ""NOUN""}"
3922,🗝,"[""Old Key""]","[""old"", ""key""]","{""old"": ""NOUN"", ""key"": ""NOUN""}"
3923,🔨,"[""Hammer"", ""Claw Hammer"", ""Handyman"", ""Tool""]","[""handyman"", ""hammer"", ""claw"", ""tool""]","{""hammer"": ""NOUN"", ""claw"": ""NOUN"", ""handyman"": ""NOUN"", ""tool"": ""NOUN""}"
3924,🪓,"[""Axe""]","[""axe""]","{""axe"": ""NOUN""}"
3925,⛏️,"[""Pick"", ""Pickaxe""]","[""pick"", ""pickaxe""]","{""pick"": ""NOUN"", ""pickaxe"": ""NOUN""}"
3926,⛏,"[""Pick"", ""Pickaxe""]","[""pick"", ""pickaxe""]","{""pick"": ""NOUN"", ""pickaxe"": ""NOUN""}"
3927,⚒️,"[""Hammer and Pick""]","[""pick"", ""and"", ""hammer""]","{""hammer"": ""NOUN"", ""and"": ""CONJ"", ""pick"": ""NOUN""}"
3928,⚒,"[""Hammer and Pick""]","[""pick"", ""and"", ""hammer""]","{""hammer"": ""NOUN"", ""and"": ""CONJ"", ""pick"": ""NOUN""}"
3929,🛠️,"[""Hammer and Wrench""]","[""and"", ""hammer"", ""wrench""]","{""hammer"": ""NOUN"", ""and"": ""CONJ"", ""wrench"": ""NOUN""}"
3930,🛠,"[""Hammer and Wrench""]","[""and"", ""hammer"", ""wrench""]","{""hammer"": ""NOUN"", ""and"": ""CONJ"", ""wrench"": ""NOUN""}"
3931,🗡️,"[""Dagger"", ""Knife Weapon""]","[""weapon"", ""dagger"", ""knife""]","{""dagger"": ""NOUN"", ""knife"": ""NOUN"", ""weapon"": ""NOUN""}"
3932,🗡,"[""Dagger"", ""Knife Weapon""]","[""weapon"", ""dagger"", ""knife""]","{""dagger"": ""NOUN"", ""knife"": ""NOUN"", ""weapon"": ""NOUN""}"
3933,⚔️,"[""Crossed Swords""]","[""crossed"", ""swords""]","{""crossed"": ""VERB"", ""swords"": ""NOUN""}"
3934,⚔,"[""Crossed Swords""]","[""crossed"", ""swords""]","{""crossed"": ""VERB"", ""swords"": ""NOUN""}"
3935,🔫,"[""Water Pistol"", ""Gun"", ""Revolver"", ""Squirt Gun"", ""Water Gun"", ""Water Pistol""]","[""water"", ""revolver"", ""gun"", ""pistol"", ""squirt""]","{""water"": ""NOUN"", ""pistol"": ""NOUN"", ""gun"": ""NOUN"", ""revolver"": ""NOUN"", ""squirt"": ""NOUN""}"
3936,🪃,"[""Boomerang""]","[""boomerang""]","{""boomerang"": ""NOUN""}"
3937,🏹,"[""Bow and Arrow"", ""Archery""]","[""and"", ""bow"", ""archery"", ""arrow""]","{""bow"": ""NOUN"", ""and"": ""CONJ"", ""arrow"": ""NOUN"", ""archery"": ""NOUN""}"
3938,🛡️,"[""Shield""]","[""shield""]","{""shield"": ""NOUN""}"
3939,🛡,"[""Shield""]","[""shield""]","{""shield"": ""NOUN""}"
3940,🪚,"[""Carpentry Saw""]","[""saw"", ""carpentry""]","{""carpentry"": ""NOUN"", ""saw"": ""NOUN""}"
3941,🔧,"[""Wrench"", ""Spanner""]","[""spanner"", ""wrench""]","{""wrench"": ""NOUN"", ""spanner"": ""NOUN""}"
3942,🪛,"[""Screwdriver""]","[""screwdriver""]","{""screwdriver"": ""NOUN""}"
3943,🔩,"[""Nut and Bolt"", ""Bolt"", ""Screw""]","[""bolt"", ""and"", ""screw"", ""nut""]","{""nut"": ""NOUN"", ""and"": ""CONJ"", ""bolt"": ""NOUN"", ""screw"": ""NOUN""}"
3944,⚙️,"[""Gear""]","[""gear""]","{""gear"": ""VERB""}"
3945,⚙,"[""Gear""]","[""gear""]","{""gear"": ""VERB""}"
3946,🗜️,"[""Clamp"", ""Clamp"", ""Table Vice"", ""WinZip""]","[""table"", ""winzip"", ""clamp"", ""vice""]","{""clamp"": ""NOUN"", ""table"": ""ADJ"", ""vice"": ""NOUN"", ""winzip"": ""NOUN""}"
3947,🗜,"[""Clamp"", ""Clamp"", ""Table Vice"", ""WinZip""]","[""table"", ""winzip"", ""clamp"", ""vice""]","{""clamp"": ""NOUN"", ""table"": ""ADJ"", ""vice"": ""NOUN"", ""winzip"": ""NOUN""}"
3948,⚖️,"[""Balance Scale"", ""Scales of Justice""]","[""scale"", ""scales"", ""of"", ""justice"", ""balance""]","{""balance"": ""NOUN"", ""scale"": ""NOUN"", ""scales"": ""NOUN"", ""of"": ""ADP"", ""justice"": ""NOUN""}"
3949,⚖,"[""Balance Scale"", ""Scales of Justice""]","[""scale"", ""scales"", ""of"", ""justice"", ""balance""]","{""balance"": ""NOUN"", ""scale"": ""NOUN"", ""scales"": ""NOUN"", ""of"": ""ADP"", ""justice"": ""NOUN""}"
3950,🦯,"[""White Cane""]","[""white"", ""cane""]","{""white"": ""NOUN"", ""cane"": ""NOUN""}"
3951,🔗,"[""Link"", ""Chain"", ""Hyperlink"", ""Linked Chain""]","[""chain"", ""link"", ""linked"", ""hyperlink""]","{""link"": ""NOUN"", ""chain"": ""NOUN"", ""hyperlink"": ""NOUN"", ""linked"": ""VERB""}"
3952,⛓️,"[""Chains""]","[""chains""]","{""chains"": ""NOUN""}"
3953,⛓,"[""Chains""]","[""chains""]","{""chains"": ""NOUN""}"
3954,🪝,"[""Hook""]","[""hook""]","{""hook"": ""NOUN""}"
3955,🧰,"[""Toolbox""]","[""toolbox""]","{""toolbox"": ""NOUN""}"
3956,🧲,"[""Magnet""]","[""magnet""]","{""magnet"": ""NOUN""}"
3957,🪜,"[""Ladder""]","[""ladder""]","{""ladder"": ""NOUN""}"
3958,⚗️,"[""Alembic""]","[""alembic""]","{""alembic"": ""NOUN""}"
3959,⚗,"[""Alembic""]","[""alembic""]","{""alembic"": ""NOUN""}"
3960,🧪,"[""Test Tube""]","[""tube"", ""test""]","{""test"": ""NOUN"", ""tube"": ""NOUN""}"
3961,🧫,"[""Petri Dish""]","[""petri"", ""dish""]","{""petri"": ""NOUN"", ""dish"": ""NOUN""}"
3962,🧬,"[""DNA""]","[""dna""]","{""dna"": ""NOUN""}"
3963,🔬,"[""Microscope"", ""Magnify"", ""Science""]","[""microscope"", ""science"", ""magnify""]","{""microscope"": ""NOUN"", ""magnify"": ""NOUN"", ""science"": ""NOUN""}"
3964,🔭,"[""Telescope"", ""Stargazing""]","[""telescope"", ""stargazing""]","{""telescope"": ""NOUN"", ""stargazing"": ""VERB""}"
3965,📡,"[""Satellite Antenna""]","[""satellite"", ""antenna""]","{""satellite"": ""NOUN"", ""antenna"": ""NOUN""}"
3966,💉,"[""Syringe"", ""Vaccination""]","[""vaccination"", ""syringe""]","{""syringe"": ""NOUN"", ""vaccination"": ""NOUN""}"
3967,🩸,"[""Drop of Blood"", ""Blood Donation"", ""Menstruation"", ""Period""]","[""drop"", ""blood"", ""donation"", ""menstruation"", ""of"", ""period""]","{""drop"": ""NOUN"", ""of"": ""ADP"", ""blood"": ""NOUN"", ""donation"": ""NOUN"", ""menstruation"": ""NOUN"", ""period"": ""NOUN""}"
3968,💊,"[""Pill"", ""Capsule"", ""Drugs"", ""Tablet""]","[""tablet"", ""capsule"", ""pill"", ""drugs""]","{""pill"": ""NOUN"", ""capsule"": ""NOUN"", ""drugs"": ""NOUN"", ""tablet"": ""NOUN""}"
3969,🩹,"[""Adhesive Bandage"", ""Band Aid"", ""Plaster""]","[""adhesive"", ""aid"", ""plaster"", ""band"", ""bandage""]","{""adhesive"": ""ADJ"", ""bandage"": ""NOUN"", ""band"": ""NOUN"", ""aid"": ""NOUN"", ""plaster"": ""NOUN""}"
3970,🩺,"[""Stethoscope""]","[""stethoscope""]","{""stethoscope"": ""NOUN""}"
3971,🚪,"[""Door"", ""Doorway"", ""Front Door""]","[""doorway"", ""door"", ""front""]","{""door"": ""NOUN"", ""doorway"": ""NOUN"", ""front"": ""NOUN""}"
3972,🛗,"[""Elevator""]","[""elevator""]","{""elevator"": ""NOUN""}"
3973,🪞,"[""Mirror""]","[""mirror""]","{""mirror"": ""NOUN""}"
3974,🪟,"[""Window""]","[""window""]","{""window"": ""NOUN""}"
3975,🛏️,"[""Bed"", ""Bedroom""]","[""bed"", ""bedroom""]","{""bed"": ""NOUN"", ""bedroom"": ""NOUN""}"
3976,🛏,"[""Bed"", ""Bedroom""]","[""bed"", ""bedroom""]","{""bed"": ""NOUN"", ""bedroom"": ""NOUN""}"
3977,🛋️,"[""Couch and Lamp"", ""Lounge"", ""Settee"", ""Sofa""]","[""couch"", ""sofa"", ""lounge"", ""and"", ""settee"", ""lamp""]","{""couch"": ""ADJ"", ""and"": ""CONJ"", ""lamp"": ""NOUN"", ""lounge"": ""NOUN"", ""settee"": ""NOUN"", ""sofa"": ""NOUN""}"
3978,🛋,"[""Couch and Lamp"", ""Lounge"", ""Settee"", ""Sofa""]","[""couch"", ""sofa"", ""lounge"", ""and"", ""settee"", ""lamp""]","{""couch"": ""ADJ"", ""and"": ""CONJ"", ""lamp"": ""NOUN"", ""lounge"": ""NOUN"", ""settee"": ""NOUN"", ""sofa"": ""NOUN""}"
3979,🪑,"[""Chair""]","[""chair""]","{""chair"": ""NOUN""}"
3980,🚽,"[""Toilet"", ""Bathroom"", ""Loo"", ""Restroom""]","[""loo"", ""restroom"", ""toilet"", ""bathroom""]","{""toilet"": ""NOUN"", ""bathroom"": ""NOUN"", ""loo"": ""NOUN"", ""restroom"": ""NOUN""}"
3981,🪠,"[""Plunger""]","[""plunger""]","{""plunger"": ""NOUN""}"
3982,🚿,"[""Shower"", ""Shower Head""]","[""head"", ""shower""]","{""shower"": ""NOUN"", ""head"": ""NOUN""}"
3983,🛁,"[""Bathtub"", ""Bubble Bath""]","[""bath"", ""bathtub"", ""bubble""]","{""bathtub"": ""NOUN"", ""bubble"": ""ADJ"", ""bath"": ""NOUN""}"
3984,🪤,"[""Mouse Trap""]","[""mouse"", ""trap""]","{""mouse"": ""NOUN"", ""trap"": ""NOUN""}"
3985,🪒,"[""Razor""]","[""razor""]","{""razor"": ""NOUN""}"
3986,🧴,"[""Lotion Bottle""]","[""lotion"", ""bottle""]","{""lotion"": ""NOUN"", ""bottle"": ""NOUN""}"
3987,🧷,"[""Safety Pin""]","[""safety"", ""pin""]","{""safety"": ""NOUN"", ""pin"": ""NOUN""}"
3988,🧹,"[""Broom"", ""Brush"", ""Sweep""]","[""brush"", ""sweep"", ""broom""]","{""broom"": ""NOUN"", ""brush"": ""NOUN"", ""sweep"": ""NOUN""}"
3989,🧺,"[""Basket""]","[""basket""]","{""basket"": ""NOUN""}"
3990,🧻,"[""Roll of Paper"", ""Toilet Paper""]","[""roll"", ""of"", ""paper"", ""toilet""]","{""roll"": ""NOUN"", ""of"": ""ADP"", ""paper"": ""NOUN"", ""toilet"": ""NOUN""}"
3991,🪣,"[""Bucket""]","[""bucket""]","{""bucket"": ""NOUN""}"
3992,🧼,"[""Soap""]","[""soap""]","{""soap"": ""NOUN""}"
3993,🪥,"[""Toothbrush""]","[""toothbrush""]","{""toothbrush"": ""NOUN""}"
3994,🧽,"[""Sponge""]","[""sponge""]","{""sponge"": ""NOUN""}"
3995,🧯,"[""Fire Extinguisher""]","[""extinguisher"", ""fire""]","{""fire"": ""NOUN"", ""extinguisher"": ""NOUN""}"
3996,🛒,"[""Shopping Cart"", ""Shopping Cart""]","[""cart"", ""shopping""]","{""shopping"": ""VERB"", ""cart"": ""NOUN""}"
3997,🚬,"[""Cigarette"", ""Cigarette"", ""Smoke""]","[""cigarette"", ""smoke""]","{""cigarette"": ""NOUN"", ""smoke"": ""NOUN""}"
3998,⚰️,"[""Coffin"", ""Casket"", ""Funeral""]","[""coffin"", ""casket"", ""funeral""]","{""coffin"": ""NOUN"", ""casket"": ""NOUN"", ""funeral"": ""ADJ""}"
3999,⚰,"[""Coffin"", ""Casket"", ""Funeral""]","[""coffin"", ""casket"", ""funeral""]","{""coffin"": ""NOUN"", ""casket"": ""NOUN"", ""funeral"": ""ADJ""}"
4000,🪦,"[""Headstone""]","[""headstone""]","{""headstone"": ""NOUN""}"
4001,⚱️,"[""Funeral Urn"", ""Vase""]","[""urn"", ""vase"", ""funeral""]","{""funeral"": ""ADJ"", ""urn"": ""NOUN"", ""vase"": ""NOUN""}"
4002,⚱,"[""Funeral Urn"", ""Vase""]","[""urn"", ""vase"", ""funeral""]","{""funeral"": ""ADJ"", ""urn"": ""NOUN"", ""vase"": ""NOUN""}"
4003,🗿,"[""Moai"", ""Easter Island"", ""Human Rock Carving"", ""Moai"", ""Moyai Statue""]","[""island"", ""rock"", ""carving"", ""easter"", ""human"", ""statue"", ""moai"", ""moyai""]","{""moai"": ""NOUN"", ""easter"": ""NOUN"", ""island"": ""NOUN"", ""human"": ""NOUN"", ""rock"": ""NOUN"", ""carving"": ""NOUN"", ""moyai"": ""NOUN"", ""statue"": ""NOUN""}"
4004,🪧,"[""Placard"", ""Lawn Sign"", ""Protest Sign"", ""Sign"", ""Sign on Post""]","[""on"", ""sign"", ""post"", ""protest"", ""placard"", ""lawn""]","{""placard"": ""NOUN"", ""lawn"": ""NOUN"", ""sign"": ""NOUN"", ""protest"": ""NOUN"", ""on"": ""ADP"", ""post"": ""NOUN""}"
4005,🏧,"[""ATM Sign"", ""ATM""]","[""sign"", ""atm""]","{""atm"": ""NOUN"", ""sign"": ""NOUN""}"
