,emoji,src_meanings,clean_meanings
4058,⤴️,"[""Right Arrow Curving Up""]","[""right arrow curving up""]"
4059,⤴,"[""Right Arrow Curving Up""]","[""right arrow curving up""]"
4060,⤵️,"[""Right Arrow Curving Down"", ""Curved Down Arrow""]","[""right arrow curving down"", ""curved down arrow""]"
4061,⤵,"[""Right Arrow Curving Down"", ""Curved Down Arrow""]","[""right arrow curving down"", ""curved down arrow""]"
4062,🔃,"[""Clockwise Vertical Arrows""]","[""clockwise vertical arrows""]"
4063,🔄,"[""Counterclockwise Arrows Button"", ""Refresh"", ""Rotate"", ""Switch""]","[""counterclockwise arrows button"", ""refresh"", ""rotate"", ""switch""]"
4064,🔙,"[""Back Arrow"", ""Back""]","[""back arrow"", ""back""]"
4065,🔚,"[""End Arrow"", ""End""]","[""end arrow"", ""end""]"
4066,🔛,"[""On! Arrow"", ""On""]","[""on! arrow"", ""on""]"
4067,🔜,"[""Soon Arrow"", ""Soon""]","[""soon arrow"", ""soon""]"
4068,🔝,"[""Top Arrow"", ""Top""]","[""top arrow"", ""top""]"
4069,🛐,"[""Place of Worship"", ""Religious Building""]","[""place of worship"", ""religious building""]"
4070,⚛️,"[""Atom Symbol""]","[""atom symbol""]"
4071,⚛,"[""Atom Symbol""]","[""atom symbol""]"
4072,🕉️,"[""Om"", ""Aumkara"", ""Omkara"", ""Pranava""]","[""om"", ""aumkara"", ""omkara"", ""pranava""]"
4073,🕉,"[""Om"", ""Aumkara"", ""Omkara"", ""Pranava""]","[""om"", ""aumkara"", ""omkara"", ""pranava""]"
4074,✡️,"[""Star of David"", ""Magen David""]","[""star of david"", ""magen david""]"
4075,✡,"[""Star of David"", ""Magen David""]","[""star of david"", ""magen david""]"
4076,☸️,"[""Wheel of Dharma"", ""Helm""]","[""wheel of dharma"", ""helm""]"
4077,☸,"[""Wheel of Dharma"", ""Helm""]","[""wheel of dharma"", ""helm""]"
4078,☯️,"[""Yin Yang""]","[""yin yang""]"
4079,☯,"[""Yin Yang""]","[""yin yang""]"
4080,✝️,"[""Latin Cross"", ""Christian Cross""]","[""latin cross"", ""christian cross""]"
4081,✝,"[""Latin Cross"", ""Christian Cross""]","[""latin cross"", ""christian cross""]"
4082,☦️,"[""Orthodox Cross""]","[""orthodox cross""]"
4083,☦,"[""Orthodox Cross""]","[""orthodox cross""]"
4084,☪️,"[""Star and Crescent""]","[""star"", ""crescent""]"
4085,☪,"[""Star and Crescent""]","[""star"", ""crescent""]"
4086,☮️,"[""Peace Symbol"", ""Peace Sign""]","[""peace symbol"", ""peace sign""]"
4087,☮,"[""Peace Symbol"", ""Peace Sign""]","[""peace symbol"", ""peace sign""]"
4088,🕎,"[""Menorah"", ""Candelabrum"", ""Candles"", ""Chanukiah"", ""Menorah""]","[""menorah"", ""candelabrum"", ""candles"", ""chanukiah"", ""menorah""]"
4089,🔯,"[""Dotted Six-Pointed Star""]","[""dotted six-pointed star""]"
4090,♈,"[""Aries""]","[""aries""]"
4091,♉,"[""Taurus""]","[""taurus""]"
4092,♊,"[""Gemini""]","[""gemini""]"
4093,♋,"[""Cancer""]","[""cancer""]"
4094,♌,"[""Leo""]","[""leo""]"
4095,♍,"[""Virgo""]","[""virgo""]"
4096,♎,"[""Libra""]","[""libra""]"
4097,♏,"[""Scorpio"", ""Scorpio""]","[""scorpio"", ""scorpio""]"
4098,♐,"[""Sagittarius""]","[""sagittarius""]"
4099,♑,"[""Capricorn""]","[""capricorn""]"
4100,♒,"[""Aquarius""]","[""aquarius""]"
4101,♓,"[""Pisces""]","[""pisces""]"
4102,⛎,"[""Ophiuchus""]","[""ophiuchus""]"
4103,🔀,"[""Shuffle Tracks Button""]","[""shuffle tracks button""]"
4104,🔁,"[""Repeat Button"", ""Loop Symbol"", ""Retweet""]","[""repeat button"", ""loop symbol"", ""retweet""]"
4105,🔂,"[""Repeat Single Button"", ""Circle Arrows With Number 1"", ""Loop Once Symbol""]","[""repeat single button"", ""circle arrows with number 1"", ""loop once symbol""]"
4106,▶️,"[""Play Button"", ""Play Button"", ""Right\u00a0Triangle""]","[""play button"", ""play button"", ""right triangle""]"
4107,▶,"[""Play Button"", ""Play Button"", ""Right\u00a0Triangle""]","[""play button"", ""play button"", ""right triangle""]"
4108,⏩,"[""Fast-Forward Button"", ""Fast Forward""]","[""fast-forward button"", ""fast forward""]"
4109,⏭️,"[""Next Track Button"", ""Next Track""]","[""next track button"", ""next track""]"
4110,⏭,"[""Next Track Button"", ""Next Track""]","[""next track button"", ""next track""]"
4111,⏯️,"[""Play or Pause Button"", ""Play-Pause""]","[""play or pause button"", ""play-pause""]"
4112,⏯,"[""Play or Pause Button"", ""Play-Pause""]","[""play or pause button"", ""play-pause""]"
4113,◀️,"[""Reverse Button"", ""Left Triangle""]","[""reverse button"", ""left triangle""]"
4114,◀,"[""Reverse Button"", ""Left Triangle""]","[""reverse button"", ""left triangle""]"
4115,⏪,"[""Fast Reverse Button"", ""Rewind""]","[""fast reverse button"", ""rewind""]"
4116,⏮️,"[""Last Track Button"", ""Previous Track""]","[""last track button"", ""previous track""]"
4117,⏮,"[""Last Track Button"", ""Previous Track""]","[""last track button"", ""previous track""]"
4118,🔼,"[""Upwards Button"", ""Up Triangle""]","[""upwards button"", ""up triangle""]"
4119,⏫,"[""Fast Up Button""]","[""fast up button""]"
4120,🔽,"[""Downwards Button"", ""Down Triangle""]","[""downwards button"", ""down triangle""]"
4121,⏬,"[""Fast Down Button""]","[""fast down button""]"
4122,⏸️,"[""Pause Button"", ""Pause""]","[""pause button"", ""pause""]"
4123,⏸,"[""Pause Button"", ""Pause""]","[""pause button"", ""pause""]"
4124,⏹️,"[""Stop Button"", ""Stop""]","[""stop button"", ""stop""]"
4125,⏹,"[""Stop Button"", ""Stop""]","[""stop button"", ""stop""]"
4126,⏺️,"[""Record Button"", ""Record""]","[""record button"", ""record""]"
4127,⏺,"[""Record Button"", ""Record""]","[""record button"", ""record""]"
4128,⏏️,"[""Eject Button""]","[""eject button""]"
4129,⏏,"[""Eject Button""]","[""eject button""]"
4130,🎦,"[""Cinema"", ""Cinema Screen"", ""Movies""]","[""cinema"", ""cinema screen"", ""movies""]"
4131,🔅,"[""Dim Button"", ""Decrease Brightness""]","[""dim button"", ""decrease brightness""]"
4132,🔆,"[""Bright Button"", ""Increase Brightness""]","[""bright button"", ""increase brightness""]"
4133,📶,"[""Antenna Bars"", ""Reception Bars"", ""Signal Strength"", ""Stairs""]","[""antenna bars"", ""reception bars"", ""signal strength"", ""stairs""]"
4134,📳,"[""Vibration Mode"", ""Phone Heart"", ""Silent Mode""]","[""vibration mode"", ""phone heart"", ""silent mode""]"
4135,📴,"[""Mobile Phone Off""]","[""mobile phone off""]"
4136,♀️,"[""Female Sign"", ""Venus Symbol"", ""Woman Symbol""]","[""female sign"", ""venus symbol""]"
4137,♀,"[""Female Sign"", ""Venus Symbol"", ""Woman Symbol""]","[""female sign"", ""venus symbol""]"
4138,♂️,"[""Male Sign"", ""Man Symbol"", ""Mars Symbol""]","[""male sign"", ""symbol"", ""mars symbol""]"
4139,♂,"[""Male Sign"", ""Man Symbol"", ""Mars Symbol""]","[""male sign"", ""symbol"", ""mars symbol""]"
4140,⚧️,"[""Transgender Symbol"", ""Transgender Sign""]","[""transgender symbol"", ""transgender sign""]"
4141,⚧,"[""Transgender Symbol"", ""Transgender Sign""]","[""transgender symbol"", ""transgender sign""]"
4142,✖️,"[""Multiply""]","[""multiply""]"
4143,✖,"[""Multiply""]","[""multiply""]"
4144,➕,"[""Plus""]","[""plus""]"
4145,➖,"[""Minus""]","[""minus""]"
4146,➗,"[""Divide""]","[""divide""]"
4147,♾️,"[""Infinity"", ""Infinity""]","[""infinity"", ""infinity""]"
4148,♾,"[""Infinity"", ""Infinity""]","[""infinity"", ""infinity""]"
4149,‼️,"[""Double Exclamation Mark""]","[""double exclamation mark""]"
4150,‼,"[""Double Exclamation Mark""]","[""double exclamation mark""]"
4151,⁉️,"[""Exclamation Question Mark""]","[""exclamation question mark""]"
4152,⁉,"[""Exclamation Question Mark""]","[""exclamation question mark""]"
4153,❓,"[""Red Question Mark""]","[""red question mark""]"
4154,❔,"[""White Question Mark""]","[""white question mark""]"
4155,❕,"[""White Exclamation Mark""]","[""white exclamation mark""]"
4156,❗,"[""Red Exclamation Mark""]","[""red exclamation mark""]"
4157,〰️,"[""Wavy Dash"", ""\u3030 Wave""]","[""wavy dash"", ""\u3030 wave""]"
4158,〰,"[""Wavy Dash"", ""\u3030 Wave""]","[""wavy dash"", ""\u3030 wave""]"
4159,💱,"[""Currency Exchange""]","[""currency exchange""]"
4160,💲,"[""Heavy Dollar Sign"", ""Dollar"", ""Dollar Sign""]","[""heavy dollar sign"", ""dollar"", ""dollar sign""]"
4161,⚕️,"[""Medical Symbol"", ""Aesculapius"", ""Asklepios"", ""Rod of Asclepius""]","[""medical symbol"", ""aesculapius"", ""asklepios"", ""rod of asclepius""]"
4162,⚕,"[""Medical Symbol"", ""Aesculapius"", ""Asklepios"", ""Rod of Asclepius""]","[""medical symbol"", ""aesculapius"", ""asklepios"", ""rod of asclepius""]"
4163,♻️,"[""Recycling Symbol"", ""Recycle Logo""]","[""recycling symbol"", ""recycle logo""]"
4164,♻,"[""Recycling Symbol"", ""Recycle Logo""]","[""recycling symbol"", ""recycle logo""]"
4165,⚜️,"[""Fleur-de-lis"", ""New Orleans Saints"", ""Scouts""]","[""fleur-de-lis"", ""new orleans saints"", ""scouts""]"
4166,⚜,"[""Fleur-de-lis"", ""New Orleans Saints"", ""Scouts""]","[""fleur-de-lis"", ""new orleans saints"", ""scouts""]"
4167,🔱,"[""Trident Emblem"", ""Pitchfork"", ""Trident""]","[""trident emblem"", ""pitchfork"", ""trident""]"
4168,📛,"[""Name Badge"", ""Fire Tag"", ""Name Tag"", ""Tofu On Fire""]","[""name badge"", ""fire tag"", ""name tag"", ""tofu on fire""]"
4169,🔰,"[""Japanese Symbol for Beginner"", ""Shoshinsha Mark"", ""Yellow Green Shield""]","[""japanese symbol for beginner"", ""shoshinsha mark"", ""yellow green shield""]"
4170,⭕,"[""Hollow Red Circle"", ""Circle"", ""Correct"", ""Red Circle""]","[""hollow red circle"", ""circle"", ""correct"", ""red circle""]"
4171,✅,"[""Check Mark Button"", ""Green Check Mark"", ""Green Tick""]","[""check mark button"", ""green check mark"", ""green tick""]"
4172,☑️,"[""Check Box with Check"", ""Checkbox"", ""Check Mark In Box""]","[""check box with check"", ""checkbox"", ""check mark in box""]"
4173,☑,"[""Check Box with Check"", ""Checkbox"", ""Check Mark In Box""]","[""check box with check"", ""checkbox"", ""check mark in box""]"
4174,✔️,"[""Check Mark"", ""Check"", ""Tick""]","[""check mark"", ""check"", ""tick""]"
4175,✔,"[""Check Mark"", ""Check"", ""Tick""]","[""check mark"", ""check"", ""tick""]"
4176,❌,"[""Cross Mark"", ""Cross"", ""X""]","[""cross mark"", ""cross"", ""x""]"
4177,❎,"[""Cross Mark Button"", ""Cross"", ""X""]","[""cross mark button"", ""cross"", ""x""]"
4178,➰,"[""Curly Loop"", ""Curling Loop"", ""Loop""]","[""curly loop"", ""curling loop"", ""loop""]"
4179,➿,"[""Double Curly Loop"", ""Double Curling Loop"", ""Voicemail""]","[""double curly loop"", ""double curling loop"", ""voicemail""]"
4180,〽️,"[""Part Alternation Mark"", ""M"", ""McDonald\u2019s""]","[""part alternation mark"", ""m"", ""mcdonald\u2019s""]"
4181,〽,"[""Part Alternation Mark"", ""M"", ""McDonald\u2019s""]","[""part alternation mark"", ""m"", ""mcdonald\u2019s""]"
4182,✳️,"[""Eight-Spoked Asterisk""]","[""eight-spoked asterisk""]"
4183,✳,"[""Eight-Spoked Asterisk""]","[""eight-spoked asterisk""]"
4184,✴️,"[""Eight-Pointed Star"", ""Orange Star""]","[""eight-pointed star"", ""orange star""]"
4185,✴,"[""Eight-Pointed Star"", ""Orange Star""]","[""eight-pointed star"", ""orange star""]"
4186,❇️,"[""Sparkle""]","[""sparkle""]"
4187,❇,"[""Sparkle""]","[""sparkle""]"
4188,©️,"[""Copyright""]","[""copyright""]"
4189,©,"[""Copyright""]","[""copyright""]"
4190,®️,"[""Registered""]","[""registered""]"
4191,®,"[""Registered""]","[""registered""]"
4192,™️,"[""Trade Mark"", ""\u2122 TM"", ""\u2122 Trademark""]","[""trade mark"", ""\u2122 tm"", ""\u2122 trademark""]"
4193,™,"[""Trade Mark"", ""\u2122 TM"", ""\u2122 Trademark""]","[""trade mark"", ""\u2122 tm"", ""\u2122 trademark""]"
4194,#️⃣,"[""""]","[""""]"
4195,#⃣,"[""""]","[""""]"
4196,*️⃣,"[""Keycap Asterisk"", ""Star Keycap""]","[""keycap asterisk"", ""star keycap""]"
4197,*⃣,"[""Keycap Asterisk"", ""Star Keycap""]","[""keycap asterisk"", ""star keycap""]"
4198,0️⃣,"[""Keycap Digit Zero""]","["" zero""]"
4199,0⃣,"[""Keycap Digit Zero""]","["" zero""]"
4200,1️⃣,"[""Keycap Digit One""]","["" one""]"
4201,1⃣,"[""Keycap Digit One""]","["" one""]"
4202,2️⃣,"[""Keycap Digit Two""]","["" two""]"
4203,2⃣,"[""Keycap Digit Two""]","["" two""]"
4204,3️⃣,"[""Keycap Digit Three""]","["" three""]"
4205,3⃣,"[""Keycap Digit Three""]","["" three""]"
4206,4️⃣,"[""Keycap Digit Four""]","["" four""]"
4207,4⃣,"[""Keycap Digit Four""]","["" four""]"
4208,5️⃣,"[""Keycap Digit Five""]","["" five""]"
4209,5⃣,"[""Keycap Digit Five""]","["" five""]"
4210,6️⃣,"[""Keycap Digit Six""]","["" six""]"
4211,6⃣,"[""Keycap Digit Six""]","["" six""]"
4212,7️⃣,"[""Keycap Digit Seven""]","["" seven""]"
4213,7⃣,"[""Keycap Digit Seven""]","["" seven""]"
4214,8️⃣,"[""Keycap Digit Eight""]","["" eight""]"
4215,8⃣,"[""Keycap Digit Eight""]","["" eight""]"
4216,9️⃣,"[""Keycap Digit Nine""]","["" nine""]"
4217,9⃣,"[""Keycap Digit Nine""]","["" nine""]"
4218,🔟,"[""Keycap: 10"", ""Number 10""]","[""keycap: 10"", ""number 10""]"
4219,🔠,"[""Input Latin Uppercase"", ""ABCD"", ""Uppercase""]","[""input latin uppercase"", ""abcd"", ""uppercase""]"
4220,🔡,"[""Input Latin Lowercase"", ""ABCD"", ""Lowercase""]","[""input latin lowercase"", ""abcd"", ""lowercase""]"
4221,🔢,"[""Input Numbers"", ""1234"", ""Numbers"", ""Numeric Input""]","[""input numbers"", ""1234"", ""numbers"", ""numeric input""]"
4222,🔣,"[""Input Symbols"", ""Symbols"", ""Symbol\u00a0Input""]","[""input symbols"", ""symbols"", ""symbol input""]"
4223,🔤,"[""Input Latin Letters"", ""ABC"", ""Alphabet"", ""Letters""]","[""input latin letters"", ""abc"", ""alphabet"", ""letters""]"
4224,🅰️,"[""A Button (Blood Type)"", ""Blood Type A""]","[""a button (blood type)"", ""blood type a""]"
4225,🅰,"[""A Button (Blood Type)"", ""Blood Type A""]","[""a button (blood type)"", ""blood type a""]"
4226,🆎,"[""AB Button (Blood Type)"", ""Blood Type AB""]","[""ab button (blood type)"", ""blood type ab""]"
4227,🅱️,"[""B Button (Blood Type)"", ""Blood Type B""]","[""b button (blood type)"", ""blood type b""]"
4228,🅱,"[""B Button (Blood Type)"", ""Blood Type B""]","[""b button (blood type)"", ""blood type b""]"
4229,🆑,"[""CL Button"", ""Clear"", ""Clear Button""]","[""cl button"", ""clear"", ""clear button""]"
4230,🆒,"[""Cool Button"", ""Cool Square""]","[""cool button"", ""cool square""]"
4231,🆓,"[""Free Button"", ""Free""]","[""free button"", ""free""]"
4232,ℹ️,"[""Information"", ""Info"", ""Lowercase I"", ""Tourist Information""]","[""information"", ""info"", ""lowercase i"", ""tourist information""]"
4233,ℹ,"[""Information"", ""Info"", ""Lowercase I"", ""Tourist Information""]","[""information"", ""info"", ""lowercase i"", ""tourist information""]"
4234,🆔,"[""ID Button"", ""ID"", ""Identification""]","[""id button"", ""id"", ""identification""]"
4235,Ⓜ️,"[""Circled M"", ""\u24c2 Circled M"", ""\u24c2 Metro""]","[""circled m"", ""\u24dc circled m"", ""\u24dc metro""]"
4236,Ⓜ,"[""Circled M"", ""\u24c2 Circled M"", ""\u24c2 Metro""]","[""circled m"", ""\u24dc circled m"", ""\u24dc metro""]"
4237,🆕,"[""New Button"", ""New""]","[""new button"", ""new""]"
4238,🆖,"[""NG Button"", ""Blooper"", ""NG"", ""No Good""]","[""ng button"", ""blooper"", ""ng"", ""no good""]"
4239,🅾️,"[""O Button (Blood Type)"", ""Blood Type O""]","[""o button (blood type)"", ""blood type o""]"
4240,🅾,"[""O Button (Blood Type)"", ""Blood Type O""]","[""o button (blood type)"", ""blood type o""]"
4241,🆗,"[""OK Button"", ""OK"", ""Okay"", ""Square""]","[""ok button"", ""ok"", ""okay"", ""square""]"
4242,🅿️,"[""P Button""]","[""p button""]"
4243,🅿,"[""P Button""]","[""p button""]"
4244,🆘,"[""SOS Button"", ""Distress Signal"", ""Emergency"", ""SOS""]","[""sos button"", ""distress signal"", ""emergency"", ""sos""]"
4245,🆙,"[""Up! Button"", ""Level Up"", ""Up""]","[""up! button"", ""level up"", ""up""]"
4246,🆚,"[""Vs Button""]","[""vs button""]"
4247,🈁,"[""Japanese \u201cHere\u201d Button"", ""Destination"", ""Here""]","[""japanese \u201chere\u201d button"", ""destination"", ""here""]"
4248,🈂️,"[""Japanese \u201cService Charge\u201d Button""]","[""japanese \u201cservice charge\u201d button""]"
4249,🈂,"[""Japanese \u201cService Charge\u201d Button""]","[""japanese \u201cservice charge\u201d button""]"
4250,🈷️,"[""Japanese \u201cMonthly Amount\u201d Button"", ""Radical 74"", ""\u6708""]","[""japanese \u201cmonthly amount\u201d button"", ""radical 74"", ""\u6708""]"
4251,🈷,"[""Japanese \u201cMonthly Amount\u201d Button"", ""Radical 74"", ""\u6708""]","[""japanese \u201cmonthly amount\u201d button"", ""radical 74"", ""\u6708""]"
4252,🈶,"[""Japanese \u201cNot Free of Charge\u201d Button"", ""Own"", ""\u6709""]","[""japanese \u201cnot free of charge\u201d button"", ""own"", ""\u6709""]"
4253,🈯,"[""Japanese \u201cReserved\u201d Button"", ""Finger Point"", ""\u6307""]","[""japanese \u201creserved\u201d button"", ""finger point"", ""\u6307""]"
4254,🉐,"[""Japanese \u201cBargain\u201d Button"", ""Acquire"", ""\u5f97""]","[""japanese \u201cbargain\u201d button"", ""acquire"", ""\u5f97""]"
4255,🈹,"[""Japanese \u201cDiscount\u201d Button"", ""Bargain Sale"", ""\u5272""]","[""japanese \u201cdiscount\u201d button"", ""bargain sale"", ""\u5272""]"
4256,🈚,"[""Japanese \u201cFree of Charge\u201d Button"", ""Lacking"", ""\u7121""]","[""japanese \u201cfree of charge\u201d button"", ""lacking"", ""\u7121""]"
4257,🈲,"[""Japanese \u201cProhibited\u201d Button"", ""Forbid"", ""\u7981""]","[""japanese \u201cprohibited\u201d button"", ""forbid"", ""\u7981""]"
4258,🉑,"[""Japanese \u201cAcceptable\u201d Button"", ""Accept""]","[""japanese \u201cacceptable\u201d button"", ""accept""]"
4259,🈸,"[""Japanese \u201cApplication\u201d Button"", ""Application Form"", ""Monkey"", ""Request"", ""\u7533""]","[""japanese \u201capplication\u201d button"", ""application form"", ""monkey"", ""request"", ""\u7533""]"
4260,🈴,"[""Japanese \u201cPassing Grade\u201d Button"", ""Agreement"", ""\u5408""]","[""japanese \u201cpassing grade\u201d button"", ""agreement"", ""\u5408""]"
4261,🈳,"[""Japanese \u201cVacancy\u201d Button"", ""Empty and Available"", ""\u7a7a""]","[""japanese \u201cvacancy\u201d button"", ""empty"", ""available"", ""\u7a7a""]"
4262,㊗️,"[""Japanese \u201cCongratulations\u201d Button""]","[""japanese \u201ccongratulations\u201d button""]"
4263,㊗,"[""Japanese \u201cCongratulations\u201d Button""]","[""japanese \u201ccongratulations\u201d button""]"
4264,㊙️,"[""Japanese \u201cSecret\u201d Button"", ""Secret""]","[""japanese \u201csecret\u201d button"", ""secret""]"
4265,㊙,"[""Japanese \u201cSecret\u201d Button"", ""Secret""]","[""japanese \u201csecret\u201d button"", ""secret""]"
4266,🈺,"[""Japanese \u201cOpen for Business\u201d Button"", ""Work"", ""\u55b6""]","[""japanese \u201copen for business\u201d button"", ""work"", ""\u55b6""]"
4267,🈵,"[""Japanese \u201cNo Vacancy\u201d Button"", ""Full"", ""\u6e80""]","[""japanese \u201cno vacancy\u201d button"", ""full"", ""\u6e80""]"
4268,🔴,"[""Red Circle""]","[""red circle""]"
4269,🟠,"[""Orange Circle""]","[""orange circle""]"
4270,🟡,"[""Yellow Circle""]","[""yellow circle""]"
4271,🟢,"[""Green Circle""]","[""green circle""]"
4272,🔵,"[""Blue Circle""]","[""blue circle""]"
4273,🟣,"[""Purple Circle""]","[""purple circle""]"
4274,🟤,"[""Brown Circle""]","[""brown circle""]"
4275,⚫,"[""Black Circle""]","[""black circle""]"
4276,⚪,"[""White Circle""]","[""white circle""]"
4277,🟥,"[""Red Square"", ""Red Card""]","[""red square"", ""red card""]"
4278,🟧,"[""Orange Square""]","[""orange square""]"
4279,🟨,"[""Yellow Square"", ""Yellow Card""]","[""yellow square"", ""yellow card""]"
4280,🟩,"[""Green Square""]","[""green square""]"
4281,🟦,"[""Blue Square""]","[""blue square""]"
4282,🟪,"[""Purple Square""]","[""purple square""]"
4283,🟫,"[""Brown Square""]","[""brown square""]"
4284,⬛,"[""Black Large Square""]","[""black large square""]"
4285,⬜,"[""White Large Square""]","[""white large square""]"
4286,◼️,"[""Black Medium Square""]","[""black medium square""]"
4287,◼,"[""Black Medium Square""]","[""black medium square""]"
4288,◻️,"[""White Medium Square""]","[""white medium square""]"
4289,◻,"[""White Medium Square""]","[""white medium square""]"
4290,◾,"[""Black Medium-Small Square""]","[""black medium-small square""]"
4291,◽,"[""White Medium-Small Square""]","[""white medium-small square""]"
4292,▪️,"[""Black Small Square""]","[""black small square""]"
4293,▪,"[""Black Small Square""]","[""black small square""]"
4294,▫️,"[""White Small Square""]","[""white small square""]"
4295,▫,"[""White Small Square""]","[""white small square""]"
4296,🔶,"[""Large Orange Diamond""]","[""large orange diamond""]"
4297,🔷,"[""Large Blue Diamond""]","[""large blue diamond""]"
4298,🔸,"[""Small Orange Diamond""]","[""small orange diamond""]"
4299,🔹,"[""Small Blue Diamond""]","[""small blue diamond""]"
4300,🔺,"[""Red Triangle Pointed Up""]","[""red triangle pointed up""]"
4301,🔻,"[""Red Triangle Pointed Down""]","[""red triangle pointed down""]"
4302,💠,"[""Diamond with a Dot"", ""Cuteness"", ""Diamond Flower"", ""Kawaii""]","[""diamond with a dot"", ""cuteness"", ""diamond flower"", ""kawaii""]"
4303,🔘,"[""Radio Button""]","[""radio button""]"
4304,🔳,"[""White Square Button""]","[""white square button""]"
4305,🔲,"[""Black Square Button""]","[""black square button""]"
4306,🏁,"[""Chequered Flag"", ""Checkered Flag"", ""Grid Girl"", ""Racing Flag""]","[""chequered flag"", ""checkered flag"", ""grid girl"", ""racing flag""]"
4307,🚩,"[""Triangular Flag"", ""Flag on Pole"", ""Red Flag""]","[""triangular flag"", ""flag on pole"", ""red flag""]"
4308,🎌,"[""Crossed Flags"", ""Two Flags""]","[""crossed flags"", ""two flags""]"
4309,🏴,"[""Black Flag""]","[""black flag""]"
4310,🏳️,"[""White Flag""]","[""white flag""]"
4311,🏳,"[""White Flag""]","[""white flag""]"
4312,🏳️‍🌈,"[""Rainbow Flag"", ""Pride Flag""]","[""rainbow flag"", ""pride flag""]"
4313,🏳‍🌈,"[""Rainbow Flag"", ""Pride Flag""]","[""rainbow flag"", ""pride flag""]"
4314,🏳️‍⚧️,"[""Transgender Flag"", ""Blue, Pink, and White Flag"", ""Trans Flag""]","[""transgender flag"", ""blue, pink,"", ""white flag"", ""trans flag""]"
4315,🏳‍⚧️,"[""Transgender Flag"", ""Blue, Pink, and White Flag"", ""Trans Flag""]","[""transgender flag"", ""blue, pink,"", ""white flag"", ""trans flag""]"
4316,🏳️‍⚧,"[""Transgender Flag"", ""Blue, Pink, and White Flag"", ""Trans Flag""]","[""transgender flag"", ""blue, pink,"", ""white flag"", ""trans flag""]"
4317,🏳‍⚧,"[""Transgender Flag"", ""Blue, Pink, and White Flag"", ""Trans Flag""]","[""transgender flag"", ""blue, pink,"", ""white flag"", ""trans flag""]"
4318,🏴‍☠️,"[""Pirate Flag"", ""Jolly Roger""]","[""pirate flag"", ""jolly roger""]"
4319,🏴‍☠,"[""Pirate Flag"", ""Jolly Roger""]","[""pirate flag"", ""jolly roger""]"
4320,🇦🇨,"[""Flag: Ascension Island""]","[""ascension island""]"
4321,🇦🇩,"[""Flag: Andorra"", ""Andorran Flag""]","[""andorra"", ""andorran flag""]"
4322,🇦🇪,"[""Flag: United Arab Emirates"", ""Emirati Flag"", ""UAE Flag""]","[""united arab emirates"", ""emirati flag"", ""uae flag""]"
4323,🇦🇫,"[""Flag: Afghanistan"", ""Afghan Flag""]","[""afghanistan"", ""afghan flag""]"
4324,🇦🇬,"[""Flag: Antigua & Barbuda""]","[""antigua & barbuda""]"
4325,🇦🇮,"[""Flag: Anguilla"", ""Anguillan Flag""]","[""anguilla"", ""anguillan flag""]"
4326,🇦🇱,"[""Flag: Albania"", ""Albanian Flag""]","[""albania"", ""albanian flag""]"
4327,🇦🇲,"[""Flag: Armenia"", ""Armenian Flag""]","[""armenia"", ""armenian flag""]"
4328,🇦🇴,"[""Flag: Angola"", ""Angolan Flag""]","[""angola"", ""angolan flag""]"
4329,🇦🇶,"[""Flag: Antarctica"", ""Antarctic Flag""]","[""antarctica"", ""antarctic flag""]"
4330,🇦🇷,"[""Flag: Argentina"", ""Argentinian Flag""]","[""argentina"", ""argentinian flag""]"
4331,🇦🇸,"[""Flag: American Samoa"", ""American Samoan Flag""]","[""american samoa"", ""american samoan flag""]"
4332,🇦🇹,"[""Flag: Austria"", ""Austrian Flag""]","[""austria"", ""austrian flag""]"
4333,🇦🇺,"[""Flag: Australia"", ""Aussie Flag"", ""Australian Flag""]","[""australia"", ""aussie flag"", ""australian flag""]"
4334,🇦🇼,"[""Flag: Aruba"", ""Aruban Flag""]","[""aruba"", ""aruban flag""]"
4335,🇦🇽,"[""Flag: \u00c5land Islands"", ""\u00c5land Flag""]","[""\u00e5land islands"", ""\u00e5land flag""]"
4336,🇦🇿,"[""Flag: Azerbaijan"", ""Azerbaijani Flag""]","[""azerbaijan"", ""azerbaijani flag""]"
4337,🇧🇦,"[""Flag: Bosnia & Herzegovina""]","[""bosnia & herzegovina""]"
4338,🇧🇧,"[""Flag: Barbados"", ""Bajan Flag"", ""Barbadian Flag""]","[""barbados"", ""bajan flag"", ""barbadian flag""]"
4339,🇧🇩,"[""Flag: Bangladesh"", ""Bangladeshi Flag""]","[""bangladesh"", ""bangladeshi flag""]"
4340,🇧🇪,"[""Flag: Belgium"", ""Belgian Flag""]","[""belgium"", ""belgian flag""]"
4341,🇧🇫,"[""Flag: Burkina Faso"", ""Burkinabe Flag""]","[""burkina faso"", ""burkinabe flag""]"
4342,🇧🇬,"[""Flag: Bulgaria"", ""Bulgarian Flag""]","[""bulgaria"", ""bulgarian flag""]"
4343,🇧🇭,"[""Flag: Bahrain"", ""Bahrainian Flag"", ""Bahrani Flag""]","[""bahrain"", ""bahrainian flag"", ""bahrani flag""]"
4344,🇧🇮,"[""Flag: Burundi"", ""Burundian Flag""]","[""burundi"", ""burundian flag""]"
4345,🇧🇯,"[""Flag: Benin"", ""Beninese Flag""]","[""benin"", ""beninese flag""]"
4346,🇧🇱,"[""Flag: St. Barth\u00e9lemy""]","[""st. barth\u00e9lemy""]"
