,emoji,meanings_ru,synsets,synsets_names
10,😉,"['победить лицо', 'победа', 'wink лицо', 'winky лицо']","[""106959-V"", ""115660-V"", ""106579-N"", ""138167-N"", ""2149-N"", ""106958-N"", ""148624-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""106579-N"", ""138167-N"", ""2149-N""]","[""ВЫИГРАТЬ, ОДЕРЖАТЬ ВЕРХ"", ""ПРЕВЗОЙТИ"", ""ВЫИГРАТЬ, ОДЕРЖАТЬ ВЕРХ"", ""ПРЕВЗОЙТИ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ВЫИГРАТЬ, ОДЕРЖАТЬ ВЕРХ"", ""ПРЕВЗОЙТИ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ПОБЕДА (УСПЕХ)"", ""ПОБЕДА В СОРЕВНОВАНИИ"", ""ВЫИГРАТЬ, ОДЕРЖАТЬ ВЕРХ"", ""ПРЕВЗОЙТИ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ПОБЕДА (УСПЕХ)"", ""ПОБЕДА В СОРЕВНОВАНИИ"", ""ВЫИГРАТЬ, ОДЕРЖАТЬ ВЕРХ"", ""ПРЕВЗОЙТИ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ПОБЕДА (УСПЕХ)"", ""ПОБЕДА В СОРЕВНОВАНИИ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ВЫИГРАТЬ, ОДЕРЖАТЬ ВЕРХ"", ""ПРЕВЗОЙТИ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ПОБЕДА (УСПЕХ)"", ""ПОБЕДА В СОРЕВНОВАНИИ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ВЫИГРАТЬ, ОДЕРЖАТЬ ВЕРХ"", ""ПРЕВЗОЙТИ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ПОБЕДА (УСПЕХ)"", ""ПОБЕДА В СОРЕВНОВАНИИ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
11,😊,"['улыбающиеся глаза', '^^', 'счастливое лицо', 'улыбка', 'улыбчивое лицо']","[""106579-N"", ""138167-N"", ""2149-N"", ""112037-N"", ""112039-N"", ""126984-N"", ""106579-N"", ""138167-N"", ""2149-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
12,😇,"['улыбающийся хало', 'ангел', 'гало']","[""136567-N"", ""110978-N""]","[""СВЕРХЪЕСТЕСТВЕННАЯ СУЩНОСТЬ"", ""АНГЕЛ (СЛУЖИТЕЛЬ БОГА)"", ""СВЕРХЪЕСТЕСТВЕННАЯ СУЩНОСТЬ"", ""АНГЕЛ (СЛУЖИТЕЛЬ БОГА)""]"
13,🥰,"['улыбающиеся сердца', 'в любовном лице']",[],[]
14,😍,"['улыбающиеся сердца', 'глаза сердца', 'сердце лицо']","[""107585-N"", ""120992-N"", ""106579-N"", ""138167-N"", ""2149-N""]","[""СИМВОЛ (УСЛОВНЫЙ ЗНАК)"", ""СЕРДЦЕ (СИМВОЛИЧЕСКОЕ ИЗОБРАЖЕНИЕ)"", ""СИМВОЛ (УСЛОВНЫЙ ЗНАК)"", ""СЕРДЦЕ (СИМВОЛИЧЕСКОЕ ИЗОБРАЖЕНИЕ)"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
15,🤩,"['звезда-струк', 'взволнованы', 'звездные глаза', 'Звезда глаза', 'wow лицо']","[""106775-N"", ""155137-N"", ""106775-N"", ""155137-N"", ""106579-N"", ""138167-N"", ""2149-N""]","[""ОЦЕНКА (МНЕНИЕ)"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ОЦЕНКА (МНЕНИЕ)"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ОЦЕНКА (МНЕНИЕ)"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ОЦЕНКА (МНЕНИЕ)"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ОЦЕНКА (МНЕНИЕ)"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ОЦЕНКА (МНЕНИЕ)"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ОЦЕНКА (МНЕНИЕ)"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ОЦЕНКА (МНЕНИЕ)"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ОЦЕНКА (МНЕНИЕ)"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ОЦЕНКА (МНЕНИЕ)"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ОЦЕНКА (МНЕНИЕ)"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ОЦЕНКА (МНЕНИЕ)"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ОЦЕНКА (МНЕНИЕ)"", ""ЗВЕЗДНОСТЬ ГОСТИНИЦЫ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
16,😘,"['лицо дует поцелуй', 'удар поцелую', 'дует поцелуй', 'поцелуи']","[""106579-N"", ""138167-N"", ""2149-N"", ""115509-N"", ""115510-N"", ""106945-N"", ""107407-N"", ""115509-N"", ""115510-N""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЗВУК"", ""УДАР, ЗВУК ОТ УДАРА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЗВУК"", ""УДАР, ЗВУК ОТ УДАРА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЗВУК"", ""УДАР, ЗВУК ОТ УДАРА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЗВУК"", ""УДАР, ЗВУК ОТ УДАРА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЗВУК"", ""УДАР, ЗВУК ОТ УДАРА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА""]"
17,😗,"['поцелуй лицо', ':-*', 'утка лицо', 'поцелуй лицо', 'свисание']","[""115509-N"", ""115510-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""8499-N"", ""108648-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""115509-N"", ""115510-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""115786-N"", ""116246-N""]","[""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""МЯСО ПТИЦЫ"", ""УТЯТИНА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""МЯСО ПТИЦЫ"", ""УТЯТИНА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""МЯСО ПТИЦЫ"", ""УТЯТИНА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""МЯСО ПТИЦЫ"", ""УТЯТИНА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""МЯСО ПТИЦЫ"", ""УТЯТИНА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""НАХОДИТЬСЯ, ПРЕБЫВАТЬ"", ""ВИСЕТЬ, ВИСЯЧЕЕ ПОЛОЖЕНИЕ""]"
18,☺️,"['улыбка лица', 'счастливое лицо', 'улыбчивое лицо', 'улыбка']","[""112037-N"", ""112039-N"", ""126984-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""112037-N"", ""112039-N"", ""126984-N""]","[""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА""]"
19,☺,"['улыбка лица', 'счастливое лицо', 'улыбчивое лицо', 'улыбка']","[""112037-N"", ""112039-N"", ""126984-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""112037-N"", ""112039-N"", ""126984-N""]","[""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ВЫРАЖЕНИЕ ЛИЦА"", ""УЛЫБКА"", ""МИМИКА ЛИЦА""]"
20,😚,"['поцелуй закрытые глаза', 'поцелуй лицо', 'поцелуй лицо']","[""115509-N"", ""115510-N"", ""115509-N"", ""115510-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""115509-N"", ""115510-N"", ""106579-N"", ""138167-N"", ""2149-N""]","[""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК""]"
21,😙,"['поцелуи улыбающиеся глаза', 'поцелуй лицо', 'поцелуй', 'виски', 'свисание']","[""115509-N"", ""115510-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""115509-N"", ""115510-N"", ""108541-N"", ""108336-N"", ""115786-N"", ""116246-N""]","[""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ВИСКИ"", ""КРЕПКИЙ АЛКОГОЛЬНЫЙ НАПИТОК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЦЕЛОВАТЬ"", ""ЦЕЛОВАТЬСЯ, ЦЕЛОВАТЬ ДРУГ ДРУГА"", ""ВИСКИ"", ""КРЕПКИЙ АЛКОГОЛЬНЫЙ НАПИТОК"", ""НАХОДИТЬСЯ, ПРЕБЫВАТЬ"", ""ВИСЕТЬ, ВИСЯЧЕЕ ПОЛОЖЕНИЕ""]"
22,🥲,['улыбаясь слеза'],"[""111674-N"", ""110869-N""]","[""СЛЕЗА, СЛЕЗНАЯ ЖИДКОСТЬ"", ""ВЫДЕЛЕНИЯ ИЗ ОРГАНИЗМА""]"
23,😋,"['лицо священное питание', 'Гоофи', 'голодный']","[""106579-N"", ""138167-N"", ""2149-N"", ""106934-N"", ""132757-N"", ""119645-A"", ""106446-A""]","[""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЕСТЬ, ПРИНИМАТЬ ПИЩУ"", ""ПИТАТЬСЯ, КОРМИТЬСЯ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЕСТЬ, ПРИНИМАТЬ ПИЩУ"", ""ПИТАТЬСЯ, КОРМИТЬСЯ"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ЕСТЬ, ПРИНИМАТЬ ПИЩУ"", ""ПИТАТЬСЯ, КОРМИТЬСЯ"", ""ГОЛОДНЫЙ (ЧУВСТВУЮЩИЙ ГОЛОД)"", ""ОБСТОЯТЕЛЬСТВА, ОБСТАНОВКА, УСЛОВИЯ""]"
24,😛,"['язык', 'Чик', 'язык лицо', 'Язык-выход']","[""10117-N"", ""106919-N"", ""10117-N"", ""106919-N"", ""106579-N"", ""138167-N"", ""2149-N"", ""10117-N"", ""106919-N"", ""117912-N"", ""112550-N"", ""117911-N""]","[""ОРГАНЫ ЧУВСТВ"", ""ЯЗЫК (ОРГАН ВКУСА)"", ""ОРГАНЫ ЧУВСТВ"", ""ЯЗЫК (ОРГАН ВКУСА)"", ""ОРГАНЫ ЧУВСТВ"", ""ЯЗЫК (ОРГАН ВКУСА)"", ""ОРГАНЫ ЧУВСТВ"", ""ЯЗЫК (ОРГАН ВКУСА)"", ""ОРГАНЫ ЧУВСТВ"", ""ЯЗЫК (ОРГАН ВКУСА)"", ""ОРГАНЫ ЧУВСТВ"", ""ЯЗЫК (ОРГАН ВКУСА)"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ОРГАНЫ ЧУВСТВ"", ""ЯЗЫК (ОРГАН ВКУСА)"", ""ОРГАНЫ ЧУВСТВ"", ""ЯЗЫК (ОРГАН ВКУСА)"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ОРГАНЫ ЧУВСТВ"", ""ЯЗЫК (ОРГАН ВКУСА)"", ""ОРГАНЫ ЧУВСТВ"", ""ЯЗЫК (ОРГАН ВКУСА)"", ""ОРГАНЫ ЧУВСТВ"", ""ЯЗЫК (ОРГАН ВКУСА)"", ""ЖИВОЙ ОРГАНИЗМ"", ""СУБЪЕКТ ДЕЯТЕЛЬНОСТИ"", ""ЧЕЛОВЕК"", ""ОРГАНЫ ЧУВСТВ"", ""ЯЗЫК (ОРГАН ВКУСА)"", ""УЙТИ (УДАЛИТЬСЯ ИЛИ ОТПРАВИТЬСЯ)"", ""ПОКИНУТЬ МЕСТО"", ""ВЫЙТИ (ПОКИНУТЬ МЕСТО)""]"
